event,variable,year,entropy
advertisements,rfm,2018,2.495523
advertisements,rfm,2019,2.455844
advertisements,rfm,2020,2.602491
advertisements,rfm,2021,2.785319
advertisements,rfm,2022,2.757597
advertisements,rfm,2023,2.649296
advertisements,rfm,2024,2.656009
advertisements,waist,2000,2.108204
advertisements,waist,2001,2.172701
advertisements,waist,2002,2.461801
advertisements,waist,2003,2.304180
advertisements,waist,2004,2.440847
advertisements,waist,2005,2.244907
advertisements,waist,2006,2.386354
advertisements,waist,2007,2.157914
advertisements,waist,2008,2.255949
advertisements,waist,2009,2.293556
advertisements,waist,2010,2.519950
advertisements,waist,2011,2.374179
advertisements,waist,2012,2.462854
advertisements,waist,2013,2.496877
advertisements,waist,2014,2.549620
advertisements,waist,2015,2.584590
advertisements,waist,2016,2.669805
advertisements,waist,2017,2.591539
advertisements,waist,2018,2.693922
advertisements,waist,2019,2.643186
advertisements,waist,2020,2.813187
advertisements,waist,2021,3.027259
advertisements,waist,2022,3.000280
advertisements,waist,2023,2.880106
advertisements,waist,2024,2.870862
advertisements,world_region,2000,2.284729
advertisements,world_region,2001,2.367546
advertisements,world_region,2002,2.449046
advertisements,world_region,2003,2.514597
advertisements,world_region,2004,2.698398
advertisements,world_region,2005,2.594447
advertisements,world_region,2006,2.648086
advertisements,world_region,2007,2.695126
advertisements,world_region,2008,2.686331
advertisements,world_region,2009,2.723026
advertisements,world_region,2010,2.747476
advertisements,world_region,2011,2.779629
advertisements,world_region,2012,2.829801
advertisements,world_region,2013,2.866711
advertisements,world_region,2014,2.855253
advertisements,world_region,2015,2.882065
advertisements,world_region,2016,2.924450
advertisements,world_region,2017,2.887054
advertisements,world_region,2018,2.979812
advertisements,world_region,2019,2.934316
advertisements,world_region,2020,3.020280
advertisements,world_region,2021,3.052017
advertisements,world_region,2022,2.973356
advertisements,world_region,2023,3.036264
advertisements,world_region,2024,2.975552
editorials,bust,2000,2.125878
editorials,bust,2001,2.226743
editorials,bust,2002,2.158979
editorials,bust,2003,2.030827
editorials,bust,2004,2.228240
editorials,bust,2005,2.534457
editorials,bust,2006,2.397659
editorials,bust,2007,2.461893
editorials,bust,2008,2.447057
editorials,bust,2009,2.549639
editorials,bust,2010,2.542375
editorials,bust,2011,2.485351
editorials,bust,2012,2.544619
editorials,bust,2013,2.542716
editorials,bust,2014,2.590071
editorials,bust,2015,2.605654
editorials,bust,2016,2.713117
editorials,bust,2017,2.810993
editorials,bust,2018,2.864652
editorials,bust,2019,2.882313
editorials,bust,2020,2.939617
editorials,bust,2021,2.934397
editorials,bust,2022,2.985529
editorials,bust,2023,2.948282
editorials,bust,2024,2.954791
editorials,ethnicity,2000,0.860063
editorials,ethnicity,2001,0.752617
editorials,ethnicity,2002,0.944932
editorials,ethnicity,2003,0.762154
editorials,ethnicity,2004,0.459118
editorials,ethnicity,2005,0.699300
editorials,ethnicity,2006,0.701007
editorials,ethnicity,2007,0.798063
editorials,ethnicity,2008,0.937216
editorials,ethnicity,2009,1.096869
editorials,ethnicity,2010,1.156739
editorials,ethnicity,2011,1.162564
editorials,ethnicity,2012,1.101553
editorials,ethnicity,2013,1.172526
editorials,ethnicity,2014,1.212755
editorials,ethnicity,2015,1.277036
editorials,ethnicity,2016,1.404309
editorials,ethnicity,2017,1.544154
editorials,ethnicity,2018,1.631830
editorials,ethnicity,2019,1.746202
editorials,ethnicity,2020,1.914797
editorials,ethnicity,2021,2.009960
editorials,ethnicity,2022,2.030586
editorials,ethnicity,2023,2.021513
editorials,ethnicity,2024,1.999633
editorials,eyes,2000,2.007174
editorials,eyes,2001,2.331970
editorials,eyes,2002,2.257495
editorials,eyes,2003,2.138960
editorials,eyes,2004,2.005461
editorials,eyes,2005,2.084970
editorials,eyes,2006,2.023117
editorials,eyes,2007,2.192017
editorials,eyes,2008,2.258125
editorials,eyes,2009,2.357052
editorials,eyes,2010,2.511006
editorials,eyes,2011,2.515890
editorials,eyes,2012,2.584505
editorials,eyes,2013,2.575143
editorials,eyes,2014,2.538255
editorials,eyes,2015,2.545774
editorials,eyes,2016,2.547679
editorials,eyes,2017,2.604807
editorials,eyes,2018,2.520736
editorials,eyes,2019,2.574745
editorials,eyes,2020,2.582586
editorials,eyes,2021,2.555484
editorials,eyes,2022,2.601470
editorials,eyes,2023,2.592934
editorials,eyes,2024,2.528975
editorials,hair,2000,2.323344
editorials,hair,2001,2.357591
editorials,hair,2002,2.362468
editorials,hair,2003,2.318623
editorials,hair,2004,2.182622
editorials,hair,2005,2.014529
editorials,hair,2006,1.876427
editorials,hair,2007,2.212274
editorials,hair,2008,2.429197
editorials,hair,2009,2.573070
editorials,hair,2010,2.501150
editorials,hair,2011,2.662474
editorials,hair,2012,2.647067
editorials,hair,2013,2.714691
editorials,hair,2014,2.713427
editorials,hair,2015,2.758129
editorials,hair,2016,2.759684
editorials,hair,2017,2.741901
editorials,hair,2018,2.802201
editorials,hair,2019,2.766651
editorials,hair,2020,2.682235
editorials,hair,2021,2.743734
editorials,hair,2022,2.702610
editorials,hair,2023,2.740194
editorials,hair,2024,2.770821
editorials,height,2000,2.428939
editorials,height,2001,2.357079
editorials,height,2002,2.276212
editorials,height,2003,2.206058
editorials,height,2004,2.188636
editorials,height,2005,2.253605
editorials,height,2006,2.201804
editorials,height,2007,2.294056
editorials,height,2008,2.180632
editorials,height,2009,2.263216
editorials,height,2010,2.278412
editorials,height,2011,2.256317
editorials,height,2012,2.259294
editorials,height,2013,2.224445
editorials,height,2014,2.254524
editorials,height,2015,2.273393
editorials,height,2016,2.291533
editorials,height,2017,2.307340
editorials,height,2018,2.309536
editorials,height,2019,2.344894
editorials,height,2020,2.449969
editorials,height,2021,2.466467
editorials,height,2022,2.468647
editorials,height,2023,2.429990
editorials,height,2024,2.340322
editorials,hips,2000,2.274572
editorials,hips,2001,2.021080
editorials,hips,2002,1.993695
editorials,hips,2003,1.934218
editorials,hips,2004,2.213849
editorials,hips,2005,2.615052
editorials,hips,2006,2.138312
editorials,hips,2007,2.258170
editorials,hips,2008,2.114306
editorials,hips,2009,2.359053
editorials,hips,2010,2.447179
editorials,hips,2011,2.335326
editorials,hips,2012,2.314858
editorials,hips,2013,2.260331
editorials,hips,2014,2.367536
editorials,hips,2015,2.367780
editorials,hips,2016,2.428684
editorials,hips,2017,2.489357
editorials,hips,2018,2.563012
editorials,hips,2019,2.577659
editorials,hips,2020,2.737870
editorials,hips,2021,2.776775
editorials,hips,2022,2.798226
editorials,hips,2023,2.816500
editorials,hips,2024,2.813813
