event,variable,year,entropy
magazine_covers,hips,2012,2.354710
magazine_covers,hips,2013,2.297350
magazine_covers,hips,2014,2.349404
magazine_covers,hips,2015,2.445088
magazine_covers,hips,2016,2.535958
magazine_covers,hips,2017,2.476624
magazine_covers,hips,2018,2.635395
magazine_covers,hips,2019,2.702455
magazine_covers,hips,2020,2.602705
magazine_covers,hips,2021,2.778937
magazine_covers,hips,2022,2.757527
magazine_covers,hips,2023,2.795771
magazine_covers,hips,2024,2.740625
magazine_covers,rfm,2000,2.182251
magazine_covers,rfm,2001,2.217471
magazine_covers,rfm,2002,2.175160
magazine_covers,rfm,2003,2.181015
magazine_covers,rfm,2004,2.214644
magazine_covers,rfm,2005,2.264739
magazine_covers,rfm,2006,2.245677
magazine_covers,rfm,2007,2.207498
magazine_covers,rfm,2008,2.193943
magazine_covers,rfm,2009,2.144576
magazine_covers,rfm,2010,2.274948
magazine_covers,rfm,2011,2.249509
magazine_covers,rfm,2012,2.289097
magazine_covers,rfm,2013,2.287036
magazine_covers,rfm,2014,2.282541
magazine_covers,rfm,2015,2.356549
magazine_covers,rfm,2016,2.401995
magazine_covers,rfm,2017,2.350564
magazine_covers,rfm,2018,2.465208
magazine_covers,rfm,2019,2.481791
magazine_covers,rfm,2020,2.474113
magazine_covers,rfm,2021,2.600717
magazine_covers,rfm,2022,2.561939
magazine_covers,rfm,2023,2.641050
magazine_covers,rfm,2024,2.554809
magazine_covers,waist,2000,2.213537
magazine_covers,waist,2001,2.256127
magazine_covers,waist,2002,2.213351
magazine_covers,waist,2003,2.202163
magazine_covers,waist,2004,2.255089
magazine_covers,waist,2005,2.299468
magazine_covers,waist,2006,2.335983
magazine_covers,waist,2007,2.275834
magazine_covers,waist,2008,2.266275
magazine_covers,waist,2009,2.207448
magazine_covers,waist,2010,2.424590
magazine_covers,waist,2011,2.340682
magazine_covers,waist,2012,2.375789
magazine_covers,waist,2013,2.380763
magazine_covers,waist,2014,2.380168
magazine_covers,waist,2015,2.479715
magazine_covers,waist,2016,2.541202
magazine_covers,waist,2017,2.441351
magazine_covers,waist,2018,2.599121
magazine_covers,waist,2019,2.627497
magazine_covers,waist,2020,2.621507
magazine_covers,waist,2021,2.749578
magazine_covers,waist,2022,2.667658
magazine_covers,waist,2023,2.819925
magazine_covers,waist,2024,2.682886
magazine_covers,world_region,2000,2.666621
magazine_covers,world_region,2001,2.769792
magazine_covers,world_region,2002,2.749398
magazine_covers,world_region,2003,2.829332
magazine_covers,world_region,2004,2.905009
magazine_covers,world_region,2005,2.877019
magazine_covers,world_region,2006,2.917417
magazine_covers,world_region,2007,2.982579
magazine_covers,world_region,2008,2.924587
magazine_covers,world_region,2009,2.873037
magazine_covers,world_region,2010,2.965743
magazine_covers,world_region,2011,2.925864
magazine_covers,world_region,2012,2.938014
magazine_covers,world_region,2013,2.947894
magazine_covers,world_region,2014,2.947690
magazine_covers,world_region,2015,2.979087
magazine_covers,world_region,2016,2.942311
magazine_covers,world_region,2017,2.894616
magazine_covers,world_region,2018,2.870933
magazine_covers,world_region,2019,2.885772
magazine_covers,world_region,2020,2.979691
magazine_covers,world_region,2021,3.022790
magazine_covers,world_region,2022,3.077509
magazine_covers,world_region,2023,2.926560
magazine_covers,world_region,2024,2.974964
