RFM
14.0
5.9672
6.9032
17.9975
14.8333
18.1463
6.9508
4.9836
3.0
7.8095
13.3151
11.9606
5.6393
13.7965
6.9508
6.2951
5.3115
17.1646
1.931
3.6667
3.6552
4.9836
18.5679
15.5924
15.9481
4.9836
6.623
4.8197
2.0
11.0423
3.661
6.9508
6.623
15.3158
5.6393
7.0769
9.1895
14.0
5.6393
12.2192
3.3103
14.5263
5.6393
16.2236
12.2517
10.7606
5.6393
7.2258
15.7949
11.0423
5.3115
14.6562
9.0794
7.75
4.9836
14.5263
5.6393
6.623
14.0
1.931
6.6772
3.6552
13.0667
12.9824
13.3333
9.5072
13.2537
11.7778
7.75
12.4932
14.2632
5.3333
0.4286
10.0606
6.623
14.0
7.3333
11.0423
5.6393
6.623
5.6667
14.3392
11.8873
13.1892
5.6393
4.9836
14.5263
4.8547
15.4286
5.9672
11.5758
6.623
11.8873
2.6555
1.931
4.1709
15.5646
1.931
4.3279
4.5128
8.1176
4.339
13.1892
15.3158
7.2787
3.0411
11.0423
3.3103
9.7576
5.2903
12.0663
6.623
11.8873
17.7515
4.3333
4.0
4.9836
5.6393
11.6056
11.0423
2.9831
7.2258
5.9355
13.4595
7.9344
7.9394
21.7778
17.0135
10.3636
14.5882
2.2759
0.0714
0.8966
16.1019
4.3279
12.711
7.5484
13.3151
14.3392
14.2041
11.1167
14.1987
5.6393
6.623
2.4615
9.1895
8.5455
15.3158
4.9836
15.5789
5.3115
14.6562
7.75
2.2759
11.7778
7.3071
5.6393
7.2787
16.6582
3.1453
6.2951
5.6393
5.9355
