gender,measurement,event_type,label,trend,significant,p_value,z_score,tau,sen_slope,sen_intercept,slope_ci_lower,slope_ci_upper,time_span_years,total_change,relative_change_percent,year_start,year_end,n_observations
male,height_cm,fashion_shows,Height_Cm - Fashion Shows (male),increasing,True,0.0007650835606778372,3.3651272832766757,0.6571428571428571,0.2211420442646886,1.6066852754643235,0.12737810915577877,0.3150443223455778,14,3.0959886197056403,115.24384701931855,2010,2024,15
male,height_cm,advertisements,Height_Cm - Advertisements (male),decreasing,True,0.004101400861903803,-2.8702556239712824,-0.5619047619047619,-0.08118608793133343,5.343273204868661,-0.14390144007375505,-0.0274712255568416,14,-1.136605231038668,-23.520944967670694,2010,2024,15
male,height_cm,magazine_covers,Height_Cm - Magazine Covers (male),no trend,False,0.32229959587191925,0.989743318610787,0.2,0.020388409996420245,4.596137532413322,-0.023486252777504112,0.11515897343124706,14,0.2854377399498834,6.106905075435884,2010,2024,15
male,height_cm,editorials,Height_Cm - Editorials (male),decreasing,True,0.02944810421427424,-2.1774353009437313,-0.42857142857142855,-0.02511728061562213,4.982224290011062,-0.05758384987980462,-0.004059964683947204,14,-0.3516419286187098,-7.32052237147291,2010,2024,15
male,bust-eu_clean,fashion_shows,Bust Eu - Fashion Shows (male),increasing,True,0.0003665345796624031,3.563075946998833,0.6952380952380952,0.25162652868668034,3.042564874034674,0.1871002809630505,0.3318468056965429,14,3.5227714016135248,73.0929647296801,2010,2024,15
male,bust-eu_clean,advertisements,Bust Eu - Advertisements (male),decreasing,True,0.010072435153279713,-2.573332628388046,-0.5047619047619047,-0.22686367348153547,9.203319508081137,-0.3654668145370856,-0.09554012553115566,14,-3.1760914287414965,-40.462530817913695,2010,2024,15
male,bust-eu_clean,magazine_covers,Bust Eu - Magazine Covers (male),no trend,False,0.7665252995235718,0.2969229955832361,0.06666666666666667,0.021959766411916437,6.790079425252092,-0.19899343514304033,0.2063382506862232,14,0.3074367297668301,4.35858110739476,2010,2024,15
male,bust-eu_clean,editorials,Bust Eu - Editorials (male),decreasing,True,0.0003665345796624031,-3.563075946998833,-0.6952380952380952,-0.1292419802813165,7.915559557735531,-0.2089653332835293,-0.08016703977335932,14,-1.809387723938431,-25.916846943793885,2010,2024,15
male,waist-eu_clean,fashion_shows,Waist Eu - Fashion Shows (male),increasing,True,0.0010901934763789534,3.2661529514155974,0.638095238095238,0.3707681584288715,2.3127885994699335,0.2597967075796299,0.5313034279386318,14,5.1907542180042014,102.67286782310308,2010,2024,15
male,waist-eu_clean,advertisements,Waist Eu - Advertisements (male),decreasing,True,0.0003665345796624031,-3.563075946998833,-0.6952380952380952,-0.28954512608046495,10.558392256963492,-0.40267746915548863,-0.1842781148867232,14,-4.053631765126509,-44.336292499516105,2010,2024,15
male,waist-eu_clean,magazine_covers,Waist Eu - Magazine Covers (male),no trend,False,1.0,0.0,0.009523809523809525,0.0027299848803841492,8.434594087359581,-0.1488043789424557,0.16424013074213897,14,0.03821978832537809,0.4529847140887572,2010,2024,15
male,waist-eu_clean,editorials,Waist Eu - Editorials (male),decreasing,True,2.0264559448257558e-06,-4.7507679293317775,-0.9238095238095239,-0.23088063558112148,9.49280640450776,-0.2482241250327422,-0.20465182476599947,14,-3.232328898135701,-41.04038428451576,2010,2024,15
male,hips-eu_clean,fashion_shows,Hips Eu - Fashion Shows (male),increasing,True,0.0015392574185091323,3.1671786195545186,0.6190476190476191,0.21915351285685455,1.4013732657197788,0.13379783230295908,0.3069887742590204,14,3.068149179995964,105.07567589343165,2010,2024,15
male,hips-eu_clean,advertisements,Hips Eu - Advertisements (male),decreasing,True,0.0010901934763789534,-3.2661529514155974,-0.638095238095238,-0.08855773409823182,5.761058919038974,-0.1278915260301421,-0.050794537138703376,14,-1.2398082773752455,-25.148833241523306,2010,2024,15
male,hips-eu_clean,magazine_covers,Hips Eu - Magazine Covers (male),no trend,False,0.5526151250628484,-0.5938459911664722,-0.12380952380952381,-0.02111812966675264,4.077752808493521,-0.14323188556785998,0.06882468254247649,14,-0.29565381533453694,-7.705253579018143,2010,2024,15
male,hips-eu_clean,editorials,Hips Eu - Editorials (male),no trend,False,0.6921807727218765,-0.39589732744431483,-0.08571428571428572,-0.008331231377940451,4.569521579093831,-0.09198770526036482,0.07310041990559828,14,-0.11663723929116632,-2.587191538770564,2010,2024,15
male,rfm,fashion_shows,Rfm - Fashion Shows (male),increasing,True,0.0007650835606778372,3.3651272832766757,0.6571428571428571,0.23087891192702883,1.8035583913197302,0.16953226038040628,0.3265963828586367,14,3.2323047669784035,93.40416214475235,2010,2024,15
male,rfm,advertisements,Rfm - Advertisements (male),decreasing,True,0.0007650835606778372,-3.3651272832766757,-0.6571428571428571,-0.14964418733747661,6.599801267634789,-0.20300722250675196,-0.0813005205555708,14,-2.0950186227246728,-37.31483963216144,2010,2024,15
male,rfm,magazine_covers,Rfm - Magazine Covers (male),no trend,False,0.7665252995235718,0.2969229955832361,0.06666666666666667,0.024062657543817423,5.1957263173549455,-0.06945856229465175,0.12602801754213694,14,0.3368772056134439,6.115543368806052,2010,2024,15
male,rfm,editorials,Rfm - Editorials (male),decreasing,True,2.0264559448257558e-06,-4.7507679293317775,-0.9238095238095239,-0.1161210044439458,5.959600934224552,-0.13476401327273752,-0.09443242635289595,14,-1.6256940622152412,-32.18470872166678,2010,2024,15
