name,prestige_raw,prestige_scaled,instagram_followers,appearance_count,prestige_percentile,rfm,gender
model_00225,0.00053,530.091735,4800.0,166,94.903087,15.661017,female
model_01802,0.000529,528.809043,18800.0,362,94.891122,17.639344,female
model_05264,0.000529,528.641721,18700.0,233,94.879158,17.967213,female
model_06848,0.000528,528.42955,369900.0,180,94.867193,17.639344,female
model_01682,0.000526,526.480015,,294,94.855229,16.168067,female
model_00599,0.000524,524.427165,,325,94.843264,16.655738,female
model_02876,0.000524,523.901408,16800.0,183,94.831299,20.88189,female
model_03807,0.000524,523.86701,87400.0,349,94.819335,16.666667,female
model_02339,0.000522,522.116909,5300.0,177,94.80737,21.230769,female
model_07316,0.00052,520.495497,,226,94.795406,16.983607,female
model_06967,0.000518,518.057277,,333,94.783441,16.0,female
model_02555,0.000518,517.70951,,269,94.771476,16.983607,female
model_07308,0.000513,513.042484,,352,94.759512,16.0,female
model_04108,0.000513,513.040271,,294,94.747547,17.935484,female
model_01140,0.000512,512.278519,,423,94.735583,17.935484,female
model_03134,0.000512,512.221626,230200.0,211,94.723618,14.62069,female
model_08564,0.000512,511.60551,,292,94.711654,16.983607,female
model_02795,0.000511,511.316892,23700.0,264,94.699689,,unknown
model_05434,0.000506,506.289925,29800.0,268,94.687724,19.937008,female
model_06122,0.000504,503.662003,,429,94.67576,17.639344,female
model_00118,0.000503,503.358412,5100.0,346,94.663795,16.666667,female
model_09419,0.0005,499.779181,,299,94.651831,15.0,female
model_05751,0.000499,499.444726,,241,94.639866,19.622047,female
model_05129,0.000498,498.378511,,364,94.627901,7.809524,male
model_00181,0.000498,497.9616,16900.0,242,94.615937,18.580645,female
model_03875,0.000498,497.757894,,282,94.603972,17.639344,female
model_02545,0.000498,497.729561,4700000.0,408,94.592008,,unknown
model_06202,0.000496,495.846605,18800.0,317,94.580043,18.295082,female
model_08519,0.000495,495.299335,,327,94.568078,14.983051,female
model_05078,0.000495,495.111957,12800.0,335,94.556114,17.935484,female
model_01235,0.000492,492.004452,20300.0,214,94.544149,17.034483,female
model_02722,0.000489,489.270055,,461,94.532185,14.803419,female
model_09916,0.000489,489.073196,32800.0,239,94.52022,14.596491,female
model_01085,0.000489,488.880666,11500.0,188,94.508256,17.311475,female
model_06965,0.000487,487.288895,,277,94.496291,19.622047,female
model_08161,0.000487,487.250726,16900.0,179,94.484326,,unknown
model_02090,0.000487,487.080791,3300.0,190,94.472362,15.831933,female
model_07664,0.000486,486.246443,,241,94.460397,17.935484,female
model_01394,0.000486,486.183421,38900.0,268,94.448433,17.967213,female
model_02110,0.000486,486.075168,,199,94.436468,,unknown
model_05110,0.000485,485.115787,16200.0,216,94.424503,16.0,female
model_01153,0.000484,483.544922,,222,94.412539,16.666667,female
model_10029,0.000483,483.451397,17400.0,156,94.400574,,unknown
model_04739,0.000483,483.335313,,194,94.38861,16.983607,female
model_02756,0.000482,481.654133,,269,94.376645,18.903226,female
model_09346,0.00048,480.231829,5500.0,390,94.364681,16.983607,female
model_01191,0.00048,479.825415,,95,94.352716,15.180328,female
model_02507,0.000479,478.800899,,158,94.340751,18.258065,female
model_06615,0.000477,477.087668,,297,94.328787,20.375,female
model_07135,0.000477,476.60997,,188,94.316822,16.0,female
model_09656,0.000475,475.325542,13600.0,370,94.304858,17.0,female
model_04923,0.000473,472.770007,,413,94.292893,13.894737,female
model_03992,0.000472,472.141187,,196,94.280928,,unknown
model_04103,0.000471,471.425881,,424,94.268964,18.857143,female
model_07821,0.000471,470.821144,,155,94.256999,17.0,female
model_02205,0.000471,470.525662,,349,94.245035,5.639344,male
model_03628,0.00047,469.506956,31500.0,161,94.23307,14.965517,female
model_00400,0.000468,467.667158,,235,94.221106,16.327869,female
model_03848,0.000467,467.391032,,238,94.209141,16.0,female
