name,prestige_raw,prestige_scaled,instagram_followers,appearance_count,prestige_percentile,rfm,gender
model_00102,0.0013,1300.159147,1800000.0,387,98.324958,20.193548,female
model_01730,0.001299,1299.490732,19900000.0,685,98.312994,16.666667,female
model_03859,0.001296,1295.991867,42900.0,455,98.301029,,unknown
model_01107,0.001294,1294.167766,,528,98.289064,16.344828,female
model_08785,0.00129,1289.690658,,650,98.2771,,unknown
model_05316,0.001268,1267.946683,180100.0,359,98.265135,,
model_01541,0.001261,1260.909985,60000.0,435,98.253171,,unknown
model_07380,0.001259,1259.056048,,360,98.241206,14.62069,female
model_07387,0.001256,1256.042261,,509,98.229241,17.333333,female
model_08921,0.001256,1255.959559,489600.0,419,98.217277,15.145299,female
model_10005,0.001244,1243.895794,132000.0,605,98.205312,,unknown
model_03433,0.001238,1237.932987,,493,98.193348,15.0,female
model_09423,0.001228,1228.100002,175400.0,599,98.181383,16.666667,female
model_02409,0.001227,1227.416353,641400.0,691,98.169419,17.311475,female
model_01717,0.001224,1224.414953,69900.0,469,98.157454,16.983607,female
model_05456,0.001217,1217.194926,21300.0,625,98.145489,16.983607,female
model_07881,0.00121,1209.879182,,530,98.133525,17.311475,female
model_07075,0.001207,1207.271152,2000000.0,740,98.12156,16.666667,female
model_02045,0.001197,1197.318278,49700.0,579,98.109596,16.666667,female
model_03814,0.001197,1196.653182,,536,98.097631,18.295082,female
model_10022,0.001192,1192.382819,,698,98.085666,19.492063,female
model_05937,0.001183,1182.942127,379000.0,334,98.073702,14.62069,female
model_00698,0.001175,1175.2255,,539,98.061737,15.310345,female
model_04800,0.001162,1161.500357,21900.0,468,98.049773,16.983607,female
model_03799,0.001148,1147.570154,,673,98.037808,17.639344,female
model_03648,0.001134,1134.288645,66300.0,460,98.025844,15.661017,female
model_05748,0.001133,1133.158599,6800000.0,449,98.013879,18.622951,female
model_07690,0.001132,1131.771296,20800.0,520,98.001914,16.0,female
model_06590,0.001128,1127.586399,82900.0,536,97.98995,16.333333,female
model_06888,0.001125,1125.043942,,561,97.977985,17.639344,female
model_01694,0.001124,1123.633221,169800.0,393,97.966021,6.622951,male
model_06555,0.001123,1122.791756,,985,97.954056,16.672269,female
model_00193,0.001107,1106.533771,53200.0,262,97.942091,,unknown
model_04722,0.001092,1091.544875,13400.0,523,97.930127,18.95082,female
model_05784,0.001081,1081.234998,28900.0,630,97.918162,16.666667,female
model_02216,0.001078,1077.668876,,457,97.906198,4.666667,male
model_08242,0.001076,1076.441587,,573,97.894233,16.983607,female
model_03805,0.001075,1075.012995,30700.0,581,97.882268,16.666667,female
model_01531,0.001066,1065.68129,149900.0,455,97.870304,16.983607,female
model_04717,0.001065,1065.289118,,579,97.858339,16.666667,female
model_06290,0.001065,1064.927915,,436,97.846375,15.655172,female
model_00920,0.001064,1064.479843,,444,97.83441,17.639344,female
model_08392,0.001053,1053.35818,,377,97.822446,21.0,female
model_01838,0.001053,1053.087163,64900.0,597,97.810481,16.983607,female
model_04673,0.001053,1052.625118,,526,97.798516,17.311475,female
