career_event,pc1,pc2
advertisements,0.126193,-0.199869
catalogues,0.107450,-0.770751
editorials,-0.017715,-0.125852
lookbooks,-0.059669,-0.242723
magazine_covers,0.336671,-0.436448
shows,-0.077638,0.169063
