event,variable,year,value,proportion,count,total_count
fashion_shows,hair,2024,black,0.313187,57,182
fashion_shows,hair,2024,brown,0.291209,53,182
fashion_shows,hair,2024,dark brown,0.192308,35,182
fashion_shows,hair,2024,blonde,0.098901,18,182
fashion_shows,hair,2024,dark blonde,0.060440,11,182
fashion_shows,hair,2024,light brown,0.027473,5,182
fashion_shows,hair,2024,chestnut,0.010989,2,182
fashion_shows,hair,2024,light blonde,0.005495,1,182
fashion_shows,hair,2002,black,0.634731,106,167
fashion_shows,hair,2002,light brown,0.257485,43,167
fashion_shows,hair,2002,blonde,0.101796,17,167
fashion_shows,hair,2002,dark brown,0.005988,1,167
fashion_shows,hair,2003,black,0.494845,96,194
fashion_shows,hair,2003,light brown,0.262887,51,194
fashion_shows,hair,2003,blonde,0.237113,46,194
fashion_shows,hair,2003,dark brown,0.005155,1,194
fashion_shows,hair,2004,light brown,0.530769,138,260
fashion_shows,hair,2004,black,0.265385,69,260
fashion_shows,hair,2004,blonde,0.115385,30,260
fashion_shows,hair,2004,red / blonde,0.050000,13,260
fashion_shows,hair,2004,dark blonde,0.026923,7,260
fashion_shows,hair,2004,brown,0.011538,3,260
fashion_shows,hair,2005,light brown,0.423529,108,255
fashion_shows,hair,2005,dark blonde,0.200000,51,255
fashion_shows,hair,2005,black,0.180392,46,255
fashion_shows,hair,2005,blonde,0.164706,42,255
fashion_shows,hair,2005,brown,0.015686,4,255
fashion_shows,hair,2005,dark brown,0.015686,4,255
fashion_shows,hair,2006,black,0.402490,97,241
fashion_shows,hair,2006,light brown,0.302905,73,241
fashion_shows,hair,2006,dark blonde,0.124481,30,241
fashion_shows,hair,2006,blonde,0.074689,18,241
fashion_shows,hair,2006,brown,0.070539,17,241
fashion_shows,hair,2006,dark brown,0.012448,3,241
fashion_shows,hair,2006,red / blonde,0.012448,3,241
fashion_shows,hair,2015,brown,0.315200,197,625
fashion_shows,hair,2015,dark brown,0.260800,163,625
fashion_shows,hair,2015,blonde,0.233600,146,625
fashion_shows,hair,2015,black,0.123200,77,625
fashion_shows,hair,2015,dark blonde,0.033600,21,625
fashion_shows,hair,2015,light brown,0.019200,12,625
fashion_shows,hair,2015,red,0.009600,6,625
fashion_shows,hair,2015,light blonde,0.004800,3,625
fashion_shows,hair,2014,brown,0.333333,200,600
fashion_shows,hair,2014,dark brown,0.216667,130,600
fashion_shows,hair,2014,blonde,0.175000,105,600
fashion_shows,hair,2014,black,0.125000,75,600
fashion_shows,hair,2014,light brown,0.076667,46,600
fashion_shows,hair,2014,dark blonde,0.058333,35,600
fashion_shows,hair,2014,red,0.011667,7,600
fashion_shows,hair,2014,light blonde,0.003333,2,600
fashion_shows,hair,2012,dark blonde,0.370000,296,800
fashion_shows,hair,2012,black,0.243750,195,800
fashion_shows,hair,2012,brown,0.175000,140,800
fashion_shows,hair,2012,blonde,0.170000,136,800
fashion_shows,hair,2012,dark brown,0.030000,24,800
fashion_shows,hair,2012,light blonde,0.010000,8,800
fashion_shows,hair,2012,light brown,0.001250,1,800
fashion_shows,hair,1999,red,0.641026,25,39
fashion_shows,hair,1999,black,0.179487,7,39
fashion_shows,hair,1999,blonde,0.102564,4,39
fashion_shows,hair,1999,dark brown,0.051282,2,39
fashion_shows,hair,1999,brown,0.025641,1,39
fashion_shows,hair,2001,black,0.725000,87,120
fashion_shows,hair,2001,dark brown,0.141667,17,120
fashion_shows,hair,2001,light brown,0.133333,16,120
fashion_shows,hair,2000,black,0.843478,97,115
fashion_shows,hair,2000,dark brown,0.121739,14,115
fashion_shows,hair,2000,red,0.034783,4,115
fashion_shows,hair,2007,black,0.576923,165,286
fashion_shows,hair,2007,light brown,0.157343,45,286
fashion_shows,hair,2007,brown,0.153846,44,286
fashion_shows,hair,2007,blonde,0.076923,22,286
fashion_shows,hair,2007,dark brown,0.017483,5,286
fashion_shows,hair,2007,red,0.017483,5,286
fashion_shows,hair,2008,black,0.383562,56,146
fashion_shows,hair,2008,brown,0.342466,50,146
fashion_shows,hair,2008,blonde,0.178082,26,146
fashion_shows,hair,2008,light brown,0.047945,7,146
fashion_shows,hair,2008,dark blonde,0.047945,7,146
fashion_shows,hair,2009,black,0.344203,95,276
fashion_shows,hair,2009,brown,0.271739,75,276
fashion_shows,hair,2009,dark blonde,0.246377,68,276
fashion_shows,hair,2009,blonde,0.119565,33,276
fashion_shows,hair,2009,light brown,0.010870,3,276
fashion_shows,hair,2009,dark brown,0.007246,2,276
fashion_shows,hair,2010,black,0.414414,184,444
fashion_shows,hair,2010,brown,0.270270,120,444
fashion_shows,hair,2010,blonde,0.146396,65,444
fashion_shows,hair,2010,dark blonde,0.074324,33,444
fashion_shows,hair,2010,dark brown,0.047297,21,444
fashion_shows,hair,2010,light brown,0.040541,18,444
fashion_shows,hair,2010,red,0.006757,3,444
fashion_shows,hair,2019,black,0.350373,329,939
fashion_shows,hair,2019,brown,0.328009,308,939
fashion_shows,hair,2019,dark brown,0.091587,86,939
fashion_shows,hair,2019,blonde,0.084132,79,939
fashion_shows,hair,2019,dark blonde,0.056443,53,939
fashion_shows,hair,2019,red,0.051118,48,939
fashion_shows,hair,2019,light brown,0.035144,33,939
fashion_shows,hair,2019,light blonde,0.001065,1,939
fashion_shows,hair,2019,red / blonde,0.001065,1,939
fashion_shows,hair,2019,brown / red,0.001065,1,939
fashion_shows,hair,2023,black,0.391188,293,749
fashion_shows,hair,2023,brown,0.232310,174,749
fashion_shows,hair,2023,dark brown,0.112150,84,749
fashion_shows,hair,2023,blonde,0.101469,76,749
fashion_shows,hair,2023,dark blonde,0.068091,51,749
fashion_shows,hair,2023,light brown,0.064085,48,749
fashion_shows,hair,2023,light blonde,0.014686,11,749
fashion_shows,hair,2023,red,0.012016,9,749
fashion_shows,hair,2023,blonde / red,0.002670,2,749
fashion_shows,hair,2023,chestnut,0.001335,1,749
fashion_shows,hair,2022,black,0.417227,310,743
fashion_shows,hair,2022,brown,0.259758,193,743
fashion_shows,hair,2022,dark brown,0.096904,72,743
fashion_shows,hair,2022,blonde,0.079408,59,743
fashion_shows,hair,2022,dark blonde,0.055182,41,743
fashion_shows,hair,2022,light brown,0.053836,40,743
fashion_shows,hair,2022,red,0.013459,10,743
fashion_shows,hair,2022,chestnut,0.013459,10,743
fashion_shows,hair,2022,blonde / red,0.005384,4,743
fashion_shows,hair,2022,red / blonde,0.002692,2,743
fashion_shows,hair,2022,auburn,0.001346,1,743
fashion_shows,hair,2022,light blonde,0.001346,1,743
fashion_shows,hair,2011,black,0.289474,198,684
fashion_shows,hair,2011,dark blonde,0.274854,188,684
fashion_shows,hair,2011,brown,0.203216,139,684
fashion_shows,hair,2011,blonde,0.124269,85,684
fashion_shows,hair,2011,light blonde,0.039474,27,684
fashion_shows,hair,2011,dark brown,0.032164,22,684
fashion_shows,hair,2011,light brown,0.032164,22,684
fashion_shows,hair,2011,red,0.004386,3,684
fashion_shows,hair,2020,black,0.387000,387,1000
fashion_shows,hair,2020,brown,0.321000,321,1000
fashion_shows,hair,2020,dark brown,0.083000,83,1000
fashion_shows,hair,2020,blonde,0.074000,74,1000
fashion_shows,hair,2020,dark blonde,0.065000,65,1000
fashion_shows,hair,2020,red,0.032000,32,1000
fashion_shows,hair,2020,light brown,0.030000,30,1000
fashion_shows,hair,2020,red / blonde,0.006000,6,1000
fashion_shows,hair,2020,brown / red,0.002000,2,1000
fashion_shows,hair,2016,brown,0.330479,193,584
fashion_shows,hair,2016,blonde,0.261986,153,584
fashion_shows,hair,2016,black,0.214041,125,584
fashion_shows,hair,2016,dark brown,0.171233,100,584
fashion_shows,hair,2016,dark blonde,0.008562,5,584
fashion_shows,hair,2016,red,0.008562,5,584
fashion_shows,hair,2016,light brown,0.005137,3,584
fashion_shows,hair,2013,brown,0.408475,241,590
fashion_shows,hair,2013,dark brown,0.186441,110,590
fashion_shows,hair,2013,black,0.155932,92,590
fashion_shows,hair,2013,dark blonde,0.128814,76,590
fashion_shows,hair,2013,blonde,0.115254,68,590
fashion_shows,hair,2013,light brown,0.003390,2,590
fashion_shows,hair,2013,red,0.001695,1,590
fashion_shows,hair,2021,brown,0.349754,71,203
fashion_shows,hair,2021,black,0.275862,56,203
fashion_shows,hair,2021,dark brown,0.133005,27,203
fashion_shows,hair,2021,blonde,0.093596,19,203
fashion_shows,hair,2021,dark blonde,0.064039,13,203
fashion_shows,hair,2021,light brown,0.044335,9,203
fashion_shows,hair,2021,chestnut,0.024631,5,203
fashion_shows,hair,2021,red,0.009852,2,203
fashion_shows,hair,2021,red / blonde,0.004926,1,203
fashion_shows,hair,2018,brown,0.498258,143,287
fashion_shows,hair,2018,dark brown,0.153310,44,287
fashion_shows,hair,2018,black,0.149826,43,287
fashion_shows,hair,2018,dark blonde,0.076655,22,287
fashion_shows,hair,2018,blonde,0.076655,22,287
fashion_shows,hair,2018,light brown,0.041812,12,287
fashion_shows,hair,2018,red / blonde,0.003484,1,287
fashion_shows,hair,2017,brown,0.464692,204,439
fashion_shows,hair,2017,blonde,0.193622,85,439
fashion_shows,hair,2017,dark brown,0.175399,77,439
fashion_shows,hair,2017,black,0.127563,56,439
fashion_shows,hair,2017,dark blonde,0.031891,14,439
fashion_shows,hair,2017,light brown,0.006834,3,439
fashion_shows,hair,1994,dark brown,0.875000,7,8
fashion_shows,hair,1994,black,0.125000,1,8
fashion_shows,hair,1995,dark brown,0.800000,12,15
fashion_shows,hair,1995,blonde,0.200000,3,15
fashion_shows,hair,1997,dark brown,0.610526,58,95
fashion_shows,hair,1997,black,0.200000,19,95
fashion_shows,hair,1997,blonde,0.189474,18,95
fashion_shows,hair,1998,black,0.339286,38,112
fashion_shows,hair,1998,dark brown,0.330357,37,112
fashion_shows,hair,1998,red,0.196429,22,112
fashion_shows,hair,1998,blonde,0.133929,15,112
fashion_shows,hair,1996,dark brown,0.823529,14,17
fashion_shows,hair,1996,blonde,0.176471,3,17
fashion_shows,hair,1991,black,0.857143,12,14
fashion_shows,hair,1991,dark brown,0.142857,2,14
fashion_shows,hair,1992,black,0.888889,8,9
fashion_shows,hair,1992,dark brown,0.111111,1,9
fashion_shows,hair,1993,dark brown,0.814815,22,27
fashion_shows,hair,1993,black,0.148148,4,27
fashion_shows,hair,1993,blonde,0.037037,1,27
fashion_shows,hair,1988,dark brown,1.000000,1,1
fashion_shows,hair,1990,black,1.000000,2,2
fashion_shows,hair,1985,blonde,1.000000,1,1
fashion_shows,hair,1983,blonde,1.000000,1,1
fashion_shows,eyes,2024,brown,0.538462,98,182
fashion_shows,eyes,2024,blue,0.153846,28,182
fashion_shows,eyes,2024,black,0.104396,19,182
fashion_shows,eyes,2024,green,0.087912,16,182
fashion_shows,eyes,2024,blue / grey,0.038462,7,182
fashion_shows,eyes,2024,dark brown,0.027473,5,182
fashion_shows,eyes,2024,blue / green,0.016484,3,182
fashion_shows,eyes,2024,hazel,0.016484,3,182
fashion_shows,eyes,2024,green / brown,0.016484,3,182
fashion_shows,eyes,2002,brown,0.640719,107,167
fashion_shows,eyes,2002,blue,0.263473,44,167
fashion_shows,eyes,2002,green,0.095808,16,167
fashion_shows,eyes,2003,brown,0.494845,96,194
fashion_shows,eyes,2003,blue,0.309278,60,194
fashion_shows,eyes,2003,green,0.195876,38,194
fashion_shows,eyes,2004,blue,0.488462,127,260
fashion_shows,eyes,2004,brown,0.303846,79,260
fashion_shows,eyes,2004,green,0.157692,41,260
fashion_shows,eyes,2004,blue / green,0.050000,13,260
fashion_shows,eyes,2005,blue,0.533333,136,255
fashion_shows,eyes,2005,brown,0.388235,99,255
fashion_shows,eyes,2005,green,0.074510,19,255
fashion_shows,eyes,2005,blue / green,0.003922,1,255
fashion_shows,eyes,2006,brown,0.597510,144,241
fashion_shows,eyes,2006,blue,0.307054,74,241
fashion_shows,eyes,2006,blue / green,0.066390,16,241
fashion_shows,eyes,2006,green,0.029046,7,241
fashion_shows,eyes,2015,brown,0.395200,247,625
fashion_shows,eyes,2015,grey,0.192000,120,625
fashion_shows,eyes,2015,green,0.187200,117,625
fashion_shows,eyes,2015,blue,0.150400,94,625
fashion_shows,eyes,2015,black,0.036800,23,625
fashion_shows,eyes,2015,blue / green,0.030400,19,625
fashion_shows,eyes,2015,dark brown,0.004800,3,625
fashion_shows,eyes,2015,hazel,0.003200,2,625
fashion_shows,eyes,2014,brown,0.338333,203,600
fashion_shows,eyes,2014,blue,0.238333,143,600
fashion_shows,eyes,2014,grey,0.131667,79,600
fashion_shows,eyes,2014,green,0.115000,69,600
fashion_shows,eyes,2014,blue / green,0.101667,61,600
fashion_shows,eyes,2014,black,0.061667,37,600
fashion_shows,eyes,2014,brown / green,0.008333,5,600
fashion_shows,eyes,2014,dark brown,0.003333,2,600
fashion_shows,eyes,2014,hazel,0.001667,1,600
fashion_shows,eyes,2012,green,0.340000,272,800
fashion_shows,eyes,2012,brown,0.248750,199,800
fashion_shows,eyes,2012,blue,0.192500,154,800
fashion_shows,eyes,2012,blue / green,0.147500,118,800
fashion_shows,eyes,2012,dark brown,0.045000,36,800
fashion_shows,eyes,2012,hazel,0.013750,11,800
fashion_shows,eyes,2012,black,0.011250,9,800
fashion_shows,eyes,2012,brown / hazel,0.001250,1,800
fashion_shows,eyes,1999,blue,0.794872,31,39
fashion_shows,eyes,1999,brown,0.179487,7,39
fashion_shows,eyes,1999,green,0.025641,1,39
fashion_shows,eyes,2001,brown,0.725000,87,120
fashion_shows,eyes,2001,blue,0.275000,33,120
fashion_shows,eyes,2000,brown,0.843478,97,115
fashion_shows,eyes,2000,blue,0.156522,18,115
fashion_shows,eyes,2007,brown,0.716783,205,286
fashion_shows,eyes,2007,blue,0.174825,50,286
fashion_shows,eyes,2007,blue / green,0.066434,19,286
fashion_shows,eyes,2007,green,0.041958,12,286
fashion_shows,eyes,2008,brown,0.732877,107,146
fashion_shows,eyes,2008,blue,0.191781,28,146
fashion_shows,eyes,2008,blue / green,0.034247,5,146
fashion_shows,eyes,2008,green,0.027397,4,146
fashion_shows,eyes,2008,dark brown,0.013699,2,146
fashion_shows,eyes,2009,brown,0.471014,130,276
fashion_shows,eyes,2009,blue,0.394928,109,276
fashion_shows,eyes,2009,green,0.134058,37,276
fashion_shows,eyes,2010,brown,0.664414,295,444
fashion_shows,eyes,2010,blue,0.202703,90,444
fashion_shows,eyes,2010,green,0.092342,41,444
fashion_shows,eyes,2010,grey,0.013514,6,444
fashion_shows,eyes,2010,dark brown,0.011261,5,444
fashion_shows,eyes,2010,blue / green,0.009009,4,444
fashion_shows,eyes,2010,hazel,0.006757,3,444
fashion_shows,eyes,2019,brown,0.550586,517,939
fashion_shows,eyes,2019,blue,0.185304,174,939
fashion_shows,eyes,2019,black,0.064963,61,939
fashion_shows,eyes,2019,blue / green,0.063898,60,939
fashion_shows,eyes,2019,green,0.047923,45,939
fashion_shows,eyes,2019,hazel,0.037274,35,939
fashion_shows,eyes,2019,blue / grey,0.022364,21,939
fashion_shows,eyes,2019,grey,0.020234,19,939
fashion_shows,eyes,2019,dark brown,0.005325,5,939
fashion_shows,eyes,2019,brown / hazel,0.002130,2,939
fashion_shows,eyes,2023,brown,0.523364,392,749
fashion_shows,eyes,2023,blue,0.137517,103,749
fashion_shows,eyes,2023,black,0.090788,68,749
fashion_shows,eyes,2023,green,0.061415,46,749
fashion_shows,eyes,2023,blue / grey,0.053405,40,749
fashion_shows,eyes,2023,hazel,0.050734,38,749
fashion_shows,eyes,2023,dark brown,0.028037,21,749
fashion_shows,eyes,2023,blue / green,0.026702,20,749
fashion_shows,eyes,2023,green / brown,0.018692,14,749
fashion_shows,eyes,2023,grey,0.005340,4,749
fashion_shows,eyes,2023,green / grey,0.004005,3,749
fashion_shows,eyes,2022,brown,0.527591,392,743
fashion_shows,eyes,2022,blue,0.158816,118,743
fashion_shows,eyes,2022,black,0.079408,59,743
fashion_shows,eyes,2022,green,0.063257,47,743
fashion_shows,eyes,2022,hazel,0.036339,27,743
fashion_shows,eyes,2022,blue / grey,0.034993,26,743
fashion_shows,eyes,2022,blue / green,0.034993,26,743
fashion_shows,eyes,2022,dark brown,0.033647,25,743
fashion_shows,eyes,2022,green / brown,0.014805,11,743
fashion_shows,eyes,2022,grey,0.014805,11,743
fashion_shows,eyes,2022,green / grey,0.001346,1,743
fashion_shows,eyes,2011,blue,0.315789,216,684
fashion_shows,eyes,2011,brown,0.298246,204,684
fashion_shows,eyes,2011,green,0.223684,153,684
fashion_shows,eyes,2011,blue / green,0.115497,79,684
fashion_shows,eyes,2011,dark brown,0.046784,32,684
fashion_shows,eyes,2020,brown,0.543000,543,1000
fashion_shows,eyes,2020,blue,0.145000,145,1000
fashion_shows,eyes,2020,black,0.090000,90,1000
fashion_shows,eyes,2020,blue / grey,0.049000,49,1000
fashion_shows,eyes,2020,blue / green,0.043000,43,1000
fashion_shows,eyes,2020,hazel,0.043000,43,1000
fashion_shows,eyes,2020,green,0.033000,33,1000
fashion_shows,eyes,2020,dark brown,0.029000,29,1000
fashion_shows,eyes,2020,light brown,0.014000,14,1000
fashion_shows,eyes,2020,grey,0.007000,7,1000
fashion_shows,eyes,2020,green / brown,0.003000,3,1000
fashion_shows,eyes,2020,green / grey,0.001000,1,1000
fashion_shows,eyes,2016,brown,0.513699,300,584
fashion_shows,eyes,2016,grey,0.205479,120,584
fashion_shows,eyes,2016,blue,0.101027,59,584
fashion_shows,eyes,2016,green,0.087329,51,584
fashion_shows,eyes,2016,hazel,0.077055,45,584
fashion_shows,eyes,2016,black,0.010274,6,584
fashion_shows,eyes,2016,blue / green,0.003425,2,584
fashion_shows,eyes,2016,brown / hazel,0.001712,1,584
fashion_shows,eyes,2013,brown,0.393220,232,590
fashion_shows,eyes,2013,green,0.245763,145,590
fashion_shows,eyes,2013,blue / green,0.152542,90,590
fashion_shows,eyes,2013,blue,0.130508,77,590
fashion_shows,eyes,2013,brown / green,0.042373,25,590
fashion_shows,eyes,2013,dark brown,0.028814,17,590
fashion_shows,eyes,2013,hazel,0.006780,4,590
fashion_shows,eyes,2021,brown,0.536946,109,203
fashion_shows,eyes,2021,blue,0.162562,33,203
fashion_shows,eyes,2021,black,0.073892,15,203
fashion_shows,eyes,2021,green,0.054187,11,203
fashion_shows,eyes,2021,blue / grey,0.054187,11,203
fashion_shows,eyes,2021,hazel,0.039409,8,203
fashion_shows,eyes,2021,blue / green,0.029557,6,203
fashion_shows,eyes,2021,dark brown,0.029557,6,203
fashion_shows,eyes,2021,green / brown,0.009852,2,203
fashion_shows,eyes,2021,light brown,0.004926,1,203
fashion_shows,eyes,2021,grey,0.004926,1,203
fashion_shows,eyes,2018,brown,0.571429,164,287
fashion_shows,eyes,2018,green,0.156794,45,287
fashion_shows,eyes,2018,blue,0.146341,42,287
fashion_shows,eyes,2018,black,0.055749,16,287
fashion_shows,eyes,2018,grey,0.034843,10,287
fashion_shows,eyes,2018,hazel,0.013937,4,287
fashion_shows,eyes,2018,blue / grey,0.010453,3,287
fashion_shows,eyes,2018,blue / green,0.006969,2,287
fashion_shows,eyes,2018,brown / hazel,0.003484,1,287
fashion_shows,eyes,2017,brown,0.503417,221,439
fashion_shows,eyes,2017,blue,0.127563,56,439
fashion_shows,eyes,2017,hazel,0.125285,55,439
fashion_shows,eyes,2017,grey,0.118451,52,439
fashion_shows,eyes,2017,green,0.097950,43,439
fashion_shows,eyes,2017,black,0.013667,6,439
fashion_shows,eyes,2017,brown / hazel,0.009112,4,439
fashion_shows,eyes,2017,brown / green,0.004556,2,439
fashion_shows,eyes,1994,green,0.500000,4,8
fashion_shows,eyes,1994,blue,0.375000,3,8
fashion_shows,eyes,1994,dark brown,0.125000,1,8
fashion_shows,eyes,1995,blue,0.666667,10,15
fashion_shows,eyes,1995,green,0.266667,4,15
fashion_shows,eyes,1995,hazel,0.066667,1,15
fashion_shows,eyes,1997,blue,0.726316,69,95
fashion_shows,eyes,1997,brown,0.200000,19,95
fashion_shows,eyes,1997,hazel,0.052632,5,95
fashion_shows,eyes,1997,green,0.021053,2,95
fashion_shows,eyes,1998,blue,0.625000,70,112
fashion_shows,eyes,1998,brown,0.339286,38,112
fashion_shows,eyes,1998,hazel,0.026786,3,112
fashion_shows,eyes,1998,green,0.008929,1,112
fashion_shows,eyes,1996,blue,0.764706,13,17
fashion_shows,eyes,1996,green,0.176471,3,17
fashion_shows,eyes,1996,hazel,0.058824,1,17
fashion_shows,eyes,1991,dark brown,0.857143,12,14
fashion_shows,eyes,1991,hazel,0.142857,2,14
fashion_shows,eyes,1992,dark brown,0.888889,8,9
fashion_shows,eyes,1992,blue,0.111111,1,9
fashion_shows,eyes,1993,blue,0.851852,23,27
fashion_shows,eyes,1993,dark brown,0.111111,3,27
fashion_shows,eyes,1993,brown,0.037037,1,27
fashion_shows,eyes,1988,hazel,1.000000,1,1
fashion_shows,eyes,1990,dark brown,1.000000,2,2
fashion_shows,eyes,1985,blue,1.000000,1,1
fashion_shows,eyes,1983,blue,1.000000,1,1
fashion_shows,world_region,2024,western europe,0.269231,49,182
fashion_shows,world_region,2024,sub-saharan africa,0.142857,26,182
fashion_shows,world_region,2024,east asia,0.137363,25,182
fashion_shows,world_region,2024,north america,0.131868,24,182
fashion_shows,world_region,2024,eastern europe,0.093407,17,182
fashion_shows,world_region,2024,southern europe,0.087912,16,182
fashion_shows,world_region,2024,south america,0.071429,13,182
fashion_shows,world_region,2024,caribbean,0.032967,6,182
fashion_shows,world_region,2024,northern europe,0.016484,3,182
fashion_shows,world_region,2024,north africa,0.010989,2,182
fashion_shows,world_region,2024,southeast asia,0.005495,1,182
fashion_shows,world_region,2002,western europe,0.760479,127,167
fashion_shows,world_region,2002,eastern europe,0.137725,23,167
fashion_shows,world_region,2002,south america,0.095808,16,167
fashion_shows,world_region,2002,north america,0.005988,1,167
fashion_shows,world_region,2003,western europe,0.608247,118,194
fashion_shows,world_region,2003,eastern europe,0.190722,37,194
fashion_shows,world_region,2003,south america,0.128866,25,194
fashion_shows,world_region,2003,middle east,0.067010,13,194
fashion_shows,world_region,2003,north america,0.005155,1,194
fashion_shows,world_region,2004,western europe,0.753846,196,260
fashion_shows,world_region,2004,middle east,0.130769,34,260
fashion_shows,world_region,2004,north america,0.088462,23,260
fashion_shows,world_region,2004,south america,0.026923,7,260
fashion_shows,world_region,2005,western europe,0.698039,178,255
fashion_shows,world_region,2005,north america,0.227451,58,255
fashion_shows,world_region,2005,middle east,0.054902,14,255
fashion_shows,world_region,2005,south america,0.015686,4,255
fashion_shows,world_region,2005,northern europe,0.003922,1,255
fashion_shows,world_region,2006,western europe,0.427386,103,241
fashion_shows,world_region,2006,east asia,0.319502,77,241
fashion_shows,world_region,2006,north america,0.215768,52,241
fashion_shows,world_region,2006,south america,0.029046,7,241
fashion_shows,world_region,2006,eastern europe,0.008299,2,241
fashion_shows,world_region,2015,eastern europe,0.318400,199,625
fashion_shows,world_region,2015,north america,0.264000,165,625
fashion_shows,world_region,2015,western europe,0.142400,89,625
fashion_shows,world_region,2015,south america,0.132800,83,625
fashion_shows,world_region,2015,east asia,0.072000,45,625
fashion_shows,world_region,2015,sub-saharan africa,0.022400,14,625
fashion_shows,world_region,2015,oceania,0.020800,13,625
fashion_shows,world_region,2015,southern europe,0.017600,11,625
fashion_shows,world_region,2015,middle east,0.006400,4,625
fashion_shows,world_region,2015,caribbean,0.003200,2,625
fashion_shows,world_region,2014,eastern europe,0.396667,238,600
fashion_shows,world_region,2014,north america,0.311667,187,600
fashion_shows,world_region,2014,western europe,0.175000,105,600
fashion_shows,world_region,2014,east asia,0.038333,23,600
fashion_shows,world_region,2014,south america,0.028333,17,600
fashion_shows,world_region,2014,oceania,0.020000,12,600
fashion_shows,world_region,2014,southern europe,0.018333,11,600
fashion_shows,world_region,2014,middle east,0.008333,5,600
fashion_shows,world_region,2014,caribbean,0.003333,2,600
fashion_shows,world_region,2012,oceania,0.312500,250,800
fashion_shows,world_region,2012,western europe,0.216250,173,800
fashion_shows,world_region,2012,north america,0.201250,161,800
