event,variable,year,value,proportion,count,total_count
fashion_shows,world_region,2012,east asia,0.131250,105,800
fashion_shows,world_region,2012,eastern europe,0.122500,98,800
fashion_shows,world_region,2012,southeast asia,0.011250,9,800
fashion_shows,world_region,2012,southern europe,0.005000,4,800
fashion_shows,world_region,1999,north america,0.769231,30,39
fashion_shows,world_region,1999,western europe,0.205128,8,39
fashion_shows,world_region,1999,middle east,0.025641,1,39
fashion_shows,world_region,2001,western europe,0.850000,102,120
fashion_shows,world_region,2001,north america,0.141667,17,120
fashion_shows,world_region,2001,eastern europe,0.008333,1,120
fashion_shows,world_region,2000,western europe,0.843478,97,115
fashion_shows,world_region,2000,north america,0.156522,18,115
fashion_shows,world_region,2007,east asia,0.517483,148,286
fashion_shows,world_region,2007,western europe,0.272727,78,286
fashion_shows,world_region,2007,north america,0.118881,34,286
fashion_shows,world_region,2007,eastern europe,0.087413,25,286
fashion_shows,world_region,2007,south america,0.003497,1,286
fashion_shows,world_region,2008,east asia,0.342466,50,146
fashion_shows,world_region,2008,eastern europe,0.287671,42,146
fashion_shows,world_region,2008,central asia,0.157534,23,146
fashion_shows,world_region,2008,north america,0.102740,15,146
fashion_shows,world_region,2008,western europe,0.095890,14,146
fashion_shows,world_region,2008,southern europe,0.013699,2,146
fashion_shows,world_region,2009,east asia,0.307971,85,276
fashion_shows,world_region,2009,eastern europe,0.293478,81,276
fashion_shows,world_region,2009,western europe,0.271739,75,276
fashion_shows,world_region,2009,central asia,0.086957,24,276
fashion_shows,world_region,2009,north america,0.039855,11,276
fashion_shows,world_region,2010,east asia,0.306306,136,444
fashion_shows,world_region,2010,eastern europe,0.292793,130,444
fashion_shows,world_region,2010,north america,0.164414,73,444
fashion_shows,world_region,2010,western europe,0.117117,52,444
fashion_shows,world_region,2010,oceania,0.099099,44,444
fashion_shows,world_region,2010,central asia,0.020270,9,444
fashion_shows,world_region,2019,western europe,0.296060,278,939
fashion_shows,world_region,2019,east asia,0.226837,213,939
fashion_shows,world_region,2019,north america,0.222577,209,939
fashion_shows,world_region,2019,sub-saharan africa,0.080937,76,939
fashion_shows,world_region,2019,eastern europe,0.060703,57,939
fashion_shows,world_region,2019,south america,0.041534,39,939
fashion_shows,world_region,2019,southern europe,0.026624,25,939
fashion_shows,world_region,2019,oceania,0.018104,17,939
fashion_shows,world_region,2019,southeast asia,0.012780,12,939
fashion_shows,world_region,2019,caribbean,0.005325,5,939
fashion_shows,world_region,2019,northern europe,0.005325,5,939
fashion_shows,world_region,2019,south asia,0.002130,2,939
fashion_shows,world_region,2019,middle east,0.001065,1,939
fashion_shows,world_region,2023,western europe,0.251001,188,749
fashion_shows,world_region,2023,north america,0.232310,174,749
fashion_shows,world_region,2023,sub-saharan africa,0.160214,120,749
fashion_shows,world_region,2023,east asia,0.142857,107,749
fashion_shows,world_region,2023,southern europe,0.065421,49,749
fashion_shows,world_region,2023,eastern europe,0.054740,41,749
fashion_shows,world_region,2023,south america,0.032043,24,749
fashion_shows,world_region,2023,northern europe,0.024032,18,749
fashion_shows,world_region,2023,caribbean,0.016021,12,749
fashion_shows,world_region,2023,north africa,0.016021,12,749
fashion_shows,world_region,2023,southeast asia,0.004005,3,749
fashion_shows,world_region,2023,oceania,0.001335,1,749
fashion_shows,world_region,2022,western europe,0.285330,212,743
fashion_shows,world_region,2022,north america,0.191117,142,743
fashion_shows,world_region,2022,sub-saharan africa,0.185734,138,743
fashion_shows,world_region,2022,east asia,0.129206,96,743
fashion_shows,world_region,2022,south america,0.059219,44,743
fashion_shows,world_region,2022,eastern europe,0.057873,43,743
fashion_shows,world_region,2022,southern europe,0.043069,32,743
fashion_shows,world_region,2022,caribbean,0.016151,12,743
fashion_shows,world_region,2022,north africa,0.014805,11,743
fashion_shows,world_region,2022,northern europe,0.009421,7,743
