event,measurement,year,iqr,skewness,kurtosis,n
fashion_shows,height_cm,2024,3.000000,-1.022769,6.653256,1071
fashion_shows,height_cm,2002,2.500000,-0.525747,0.450317,5237
fashion_shows,height_cm,2003,2.500000,-0.148821,1.011681,6243
fashion_shows,height_cm,2004,3.500000,0.053251,0.302912,7354
fashion_shows,height_cm,2005,3.500000,-0.121511,0.400222,8704
fashion_shows,height_cm,2006,3.500000,-0.110573,-0.020603,9877
fashion_shows,height_cm,2015,2.000000,-0.736912,1.241278,11085
fashion_shows,height_cm,2014,2.000000,-0.789159,1.795604,10871
fashion_shows,height_cm,2012,2.000000,-0.632405,1.277449,21571
fashion_shows,height_cm,1999,2.500000,-1.120132,3.750523,1653
fashion_shows,height_cm,2001,2.500000,-0.651798,1.854313,5151
fashion_shows,height_cm,2000,2.500000,-0.319338,0.778526,4448
fashion_shows,height_cm,2007,3.000000,-0.431781,0.297454,11068
fashion_shows,height_cm,2008,3.000000,-0.586817,0.875934,11150
fashion_shows,height_cm,2009,2.000000,-0.494165,0.455414,12427
fashion_shows,height_cm,2010,3.000000,-0.269547,0.901676,14619
fashion_shows,height_cm,2019,3.000000,-0.826399,3.543282,10980
fashion_shows,height_cm,2023,3.000000,0.197237,5.150927,2952
fashion_shows,height_cm,2022,3.000000,-0.352693,5.290403,4515
fashion_shows,height_cm,2011,2.000000,-0.496955,1.491585,17583
fashion_shows,height_cm,2020,3.000000,-0.833589,5.072616,9096
fashion_shows,height_cm,2016,2.000000,-0.665630,0.469508,7963
fashion_shows,height_cm,2013,2.000000,-0.739100,1.727000,10333
fashion_shows,height_cm,2021,2.000000,-0.338420,3.208461,981
fashion_shows,height_cm,2018,3.000000,-0.931053,3.839135,3634
fashion_shows,height_cm,2017,2.000000,-0.836497,2.878408,5213
fashion_shows,height_cm,1994,2.500000,-0.338774,-0.060234,503
fashion_shows,height_cm,1995,3.500000,-0.254209,0.178824,590
fashion_shows,height_cm,1997,2.500000,-0.625895,0.645662,2767
fashion_shows,height_cm,1998,3.000000,-0.495281,1.112405,2863
fashion_shows,height_cm,1996,4.000000,-0.636914,0.541452,697
fashion_shows,height_cm,1991,2.500000,0.498238,0.370527,377
fashion_shows,height_cm,1992,2.000000,0.136843,-0.729459,503
fashion_shows,height_cm,1993,3.000000,-0.419419,-0.085471,705
