event,measurement,year,iqr,skewness,kurtosis,n
fashion_shows,height_cm,1987,3.000000,0.979682,-0.848542,47
fashion_shows,height_cm,1988,3.000000,1.017102,1.346933,82
fashion_shows,height_cm,1990,3.000000,0.572394,-0.065998,198
fashion_shows,height_cm,1984,2.500000,-1.457863,0.000000,3
fashion_shows,height_cm,1981,0.000000,0.000000,0.000000,1
fashion_shows,height_cm,1985,2.000000,1.322876,0.875000,8
fashion_shows,height_cm,1989,0.500000,2.240690,4.831736,75
fashion_shows,height_cm,1986,0.750000,1.326650,-0.325926,12
fashion_shows,height_cm,1982,0.000000,0.000000,0.000000,1
fashion_shows,height_cm,1980,0.000000,0.000000,0.000000,1
fashion_shows,bust-eu_clean,2024,3.000000,0.388122,1.074200,1071
fashion_shows,bust-eu_clean,2002,3.500000,-0.111730,-0.351285,5237
fashion_shows,bust-eu_clean,2003,2.000000,-0.164172,-0.017301,6243
fashion_shows,bust-eu_clean,2004,3.500000,-0.072815,0.015246,7354
fashion_shows,bust-eu_clean,2005,4.000000,0.038027,-0.271664,8704
fashion_shows,bust-eu_clean,2006,5.000000,0.067843,0.043557,9877
fashion_shows,bust-eu_clean,2015,3.000000,0.431476,1.251466,11085
fashion_shows,bust-eu_clean,2014,3.000000,0.291132,0.614554,10871
fashion_shows,bust-eu_clean,2012,4.000000,-0.011402,0.636303,21571
fashion_shows,bust-eu_clean,1999,2.500000,-0.037392,0.610398,1653
fashion_shows,bust-eu_clean,2001,4.000000,-0.323555,-0.531087,5151
fashion_shows,bust-eu_clean,2000,2.500000,-0.308366,-0.274638,4448
fashion_shows,bust-eu_clean,2007,4.000000,0.259505,0.465890,11068
fashion_shows,bust-eu_clean,2008,3.000000,0.564666,0.880652,11150
fashion_shows,bust-eu_clean,2009,3.000000,0.492083,0.717577,12427
fashion_shows,bust-eu_clean,2010,3.000000,0.335887,0.920245,14619
fashion_shows,bust-eu_clean,2019,4.500000,0.685313,3.639023,10980
fashion_shows,bust-eu_clean,2023,3.000000,2.008388,10.280275,2952
fashion_shows,bust-eu_clean,2022,3.000000,2.142051,11.406282,4515
fashion_shows,bust-eu_clean,2011,4.000000,0.236966,0.914763,17583
fashion_shows,bust-eu_clean,2020,4.500000,0.868750,4.590867,9096
fashion_shows,bust-eu_clean,2016,3.000000,0.319353,1.256788,7963
fashion_shows,bust-eu_clean,2013,3.000000,0.209083,0.660989,10333
fashion_shows,bust-eu_clean,2021,3.500000,2.220922,12.895805,981
fashion_shows,bust-eu_clean,2018,4.500000,0.754622,4.774079,3634
fashion_shows,bust-eu_clean,2017,4.000000,0.324541,1.054976,5213
fashion_shows,bust-eu_clean,1994,0.500000,0.325659,1.397735,503
fashion_shows,bust-eu_clean,1995,2.500000,-0.098831,0.168041,590
fashion_shows,bust-eu_clean,1997,1.500000,-0.615441,1.029371,2767
fashion_shows,bust-eu_clean,1998,2.500000,-0.529288,0.580857,2863
fashion_shows,bust-eu_clean,1996,1.500000,0.084915,2.945841,697
fashion_shows,bust-eu_clean,1991,0.500000,0.611955,1.642759,377
fashion_shows,bust-eu_clean,1992,2.000000,0.375947,1.609667,503
fashion_shows,bust-eu_clean,1993,1.500000,0.501003,0.586994,705
fashion_shows,bust-eu_clean,1987,0.500000,-2.627554,16.277810,47
fashion_shows,bust-eu_clean,1988,0.500000,2.579403,5.930429,82
fashion_shows,bust-eu_clean,1990,0.500000,0.858771,1.735125,198
fashion_shows,bust-eu_clean,1984,2.000000,1.630059,0.000000,3
fashion_shows,bust-eu_clean,1981,0.000000,0.000000,0.000000,1
fashion_shows,bust-eu_clean,1985,0.500000,2.576245,6.860000,8
fashion_shows,bust-eu_clean,1989,0.500000,2.388520,6.273246,75
fashion_shows,bust-eu_clean,1986,0.125000,2.877332,8.741333,12
fashion_shows,bust-eu_clean,1982,0.000000,0.000000,0.000000,1
fashion_shows,bust-eu_clean,1980,0.000000,0.000000,0.000000,1
fashion_shows,waist-eu_clean,2024,2.000000,3.156842,21.456454,1071
fashion_shows,waist-eu_clean,2002,2.500000,-0.185058,2.471333,5237
fashion_shows,waist-eu_clean,2003,1.500000,-0.073067,5.371432,6243
fashion_shows,waist-eu_clean,2004,1.500000,0.157909,4.666794,7354
fashion_shows,waist-eu_clean,2005,2.000000,0.888256,4.807942,8704
fashion_shows,waist-eu_clean,2006,2.000000,1.042074,7.625577,9877
fashion_shows,waist-eu_clean,2015,2.000000,0.760591,3.221165,11085
fashion_shows,waist-eu_clean,2014,1.000000,1.025796,5.611606,10871
fashion_shows,waist-eu_clean,2012,1.000000,1.262981,8.704613,21571
fashion_shows,waist-eu_clean,1999,2.000000,1.461123,11.546054,1653
fashion_shows,waist-eu_clean,2001,2.500000,0.039026,2.872190,5151
fashion_shows,waist-eu_clean,2000,1.500000,0.506720,2.806427,4448
fashion_shows,waist-eu_clean,2007,2.000000,3.613930,23.872931,11068
fashion_shows,waist-eu_clean,2008,2.000000,3.450780,19.114857,11150
fashion_shows,waist-eu_clean,2009,1.500000,3.217372,18.734521,12427
fashion_shows,waist-eu_clean,2010,2.000000,2.359426,16.343708,14619
fashion_shows,waist-eu_clean,2019,2.000000,3.092334,30.571609,10980
fashion_shows,waist-eu_clean,2023,2.500000,3.377257,16.954579,2952
fashion_shows,waist-eu_clean,2022,2.500000,3.644007,18.444128,4515
fashion_shows,waist-eu_clean,2011,1.000000,1.586402,9.803557,17583
fashion_shows,waist-eu_clean,2020,2.000000,3.817588,32.169536,9096
fashion_shows,waist-eu_clean,2016,2.000000,0.716796,6.586380,7963
fashion_shows,waist-eu_clean,2013,1.000000,1.383683,9.383858,10333
fashion_shows,waist-eu_clean,2021,2.500000,3.658862,19.785379,981
fashion_shows,waist-eu_clean,2018,2.000000,2.686586,25.501222,3634
fashion_shows,waist-eu_clean,2017,2.000000,1.252890,10.205545,5213
fashion_shows,waist-eu_clean,1994,4.500000,0.797220,0.125097,503
fashion_shows,waist-eu_clean,1995,2.500000,1.289421,2.749431,590
fashion_shows,waist-eu_clean,1997,0.000000,1.371351,6.210968,2767
fashion_shows,waist-eu_clean,1998,1.000000,1.491043,6.251046,2863
fashion_shows,waist-eu_clean,1996,3.000000,1.040308,1.978410,697
fashion_shows,waist-eu_clean,1991,4.000000,1.061891,0.457055,377
fashion_shows,waist-eu_clean,1992,3.500000,1.203965,1.506151,503
fashion_shows,waist-eu_clean,1993,3.500000,1.903785,5.729486,705
fashion_shows,waist-eu_clean,1987,7.000000,-0.605593,-1.336616,47
fashion_shows,waist-eu_clean,1988,8.000000,-0.262923,-1.552505,82
fashion_shows,waist-eu_clean,1990,9.500000,0.397528,-0.965664,198
fashion_shows,waist-eu_clean,1984,1.000000,1.293343,0.000000,3
fashion_shows,waist-eu_clean,1981,0.000000,0.000000,0.000000,1
fashion_shows,waist-eu_clean,1985,5.625000,-0.798483,-0.333736,8
fashion_shows,waist-eu_clean,1989,6.500000,-0.567319,-0.599088,75
fashion_shows,waist-eu_clean,1986,6.000000,-0.854462,-0.196039,12
fashion_shows,waist-eu_clean,1982,0.000000,0.000000,0.000000,1
fashion_shows,waist-eu_clean,1980,0.000000,0.000000,0.000000,1
fashion_shows,hips-eu_clean,2024,2.000000,5.043899,55.959349,1071
fashion_shows,hips-eu_clean,2002,2.500000,-0.434368,0.995589,5237
fashion_shows,hips-eu_clean,2003,2.000000,0.397202,9.759084,6243
fashion_shows,hips-eu_clean,2004,2.000000,1.400365,8.647538,7354
fashion_shows,hips-eu_clean,2005,2.500000,1.509605,6.915863,8704
fashion_shows,hips-eu_clean,2006,2.500000,1.772333,10.711428,9877
fashion_shows,hips-eu_clean,2015,2.000000,1.238612,7.927680,11085
fashion_shows,hips-eu_clean,2014,2.500000,1.596847,7.580958,10871
fashion_shows,hips-eu_clean,2012,2.500000,1.938639,13.861257,21571
fashion_shows,hips-eu_clean,1999,2.500000,0.152581,0.673676,1653
fashion_shows,hips-eu_clean,2001,2.500000,-0.504852,2.298644,5151
fashion_shows,hips-eu_clean,2000,2.500000,-0.229843,0.117517,4448
fashion_shows,hips-eu_clean,2007,2.500000,4.652475,34.576706,11068
fashion_shows,hips-eu_clean,2008,2.500000,4.500833,29.044673,11150
fashion_shows,hips-eu_clean,2009,2.500000,4.327318,30.023136,12427
fashion_shows,hips-eu_clean,2010,2.500000,3.173355,24.301918,14619
fashion_shows,hips-eu_clean,2019,2.500000,4.565428,51.829290,10980
fashion_shows,hips-eu_clean,2023,3.000000,4.583987,31.025391,2952
fashion_shows,hips-eu_clean,2022,3.000000,4.777556,28.891785,4515
fashion_shows,hips-eu_clean,2011,2.500000,2.620634,14.865770,17583
fashion_shows,hips-eu_clean,2020,2.500000,4.455818,41.387940,9096
fashion_shows,hips-eu_clean,2016,2.500000,1.473673,16.758253,7963
fashion_shows,hips-eu_clean,2013,2.500000,2.186970,11.901984,10333
fashion_shows,hips-eu_clean,2021,2.000000,5.242727,39.332873,981
fashion_shows,hips-eu_clean,2018,2.500000,3.820335,51.874514,3634
fashion_shows,hips-eu_clean,2017,3.000000,1.839464,16.863496,5213
fashion_shows,hips-eu_clean,1994,2.000000,0.618329,0.400918,503
fashion_shows,hips-eu_clean,1995,2.000000,0.853306,1.816106,590
fashion_shows,hips-eu_clean,1997,3.000000,0.243161,1.535831,2767
fashion_shows,hips-eu_clean,1998,2.000000,0.217646,2.298311,2863
fashion_shows,hips-eu_clean,1996,2.000000,0.680843,2.157547,697
fashion_shows,hips-eu_clean,1991,3.000000,0.572582,-0.593196,377
fashion_shows,hips-eu_clean,1992,2.500000,0.683248,0.144941,503
fashion_shows,hips-eu_clean,1993,2.000000,2.856098,15.380560,705
fashion_shows,hips-eu_clean,1987,5.000000,-0.693617,-0.995626,47
fashion_shows,hips-eu_clean,1988,6.000000,-0.116318,-1.069313,82
fashion_shows,hips-eu_clean,1990,6.000000,0.120808,-1.175257,198
fashion_shows,hips-eu_clean,1984,2.000000,-1.732051,0.000000,3
fashion_shows,hips-eu_clean,1981,0.000000,0.000000,0.000000,1
fashion_shows,hips-eu_clean,1985,7.000000,-0.384900,-2.300000,8
fashion_shows,hips-eu_clean,1989,5.500000,-0.956728,-0.666361,75
fashion_shows,hips-eu_clean,1986,3.000000,0.719490,1.250720,12
fashion_shows,hips-eu_clean,1982,0.000000,0.000000,0.000000,1
fashion_shows,hips-eu_clean,1980,0.000000,0.000000,0.000000,1
fashion_shows,rfm,2024,2.005650,1.391811,7.682375,1071
fashion_shows,rfm,2002,2.473028,-0.618768,1.910133,5237
fashion_shows,rfm,2003,2.127015,-0.633590,2.696065,6243
fashion_shows,rfm,2004,2.127015,-0.523967,2.380737,7354
fashion_shows,rfm,2005,2.473028,0.019900,1.594781,8704
fashion_shows,rfm,2006,2.426132,0.098862,2.689421,9877
fashion_shows,rfm,2015,1.972678,0.423771,1.964887,11085
fashion_shows,rfm,2014,1.639344,0.731643,3.660593,10871
fashion_shows,rfm,2012,1.935484,0.722229,3.763180,21571
fashion_shows,rfm,1999,2.299215,0.405770,3.125256,1653
fashion_shows,rfm,2001,1.963080,-0.447967,2.068583,5151
fashion_shows,rfm,2000,1.618327,0.061231,1.603507,4448
fashion_shows,rfm,2007,2.113821,1.969240,11.138657,11068
fashion_shows,rfm,2008,1.834734,2.292399,11.681056,11150
fashion_shows,rfm,2009,1.639344,2.086866,10.827800,12427
fashion_shows,rfm,2010,1.666667,1.260376,7.824754,14619
fashion_shows,rfm,2019,2.152165,1.353099,10.859663,10980
fashion_shows,rfm,2023,2.656868,2.280595,10.187381,2952
fashion_shows,rfm,2022,2.656868,2.462575,10.779521,4515
fashion_shows,rfm,2011,1.666667,0.935858,4.311965,17583
fashion_shows,rfm,2020,2.613450,1.983398,14.285462,9096
fashion_shows,rfm,2016,1.978327,0.270261,2.488735,7963
fashion_shows,rfm,2013,1.639344,0.864659,5.074192,10333
fashion_shows,rfm,2021,2.645179,2.447437,12.185250,981
fashion_shows,rfm,2018,2.274467,1.233122,9.999871,3634
fashion_shows,rfm,2017,1.978327,0.619572,4.036026,5213
fashion_shows,rfm,1994,3.694038,0.679101,-0.208142,503
fashion_shows,rfm,1995,2.488154,1.147315,1.704984,590
fashion_shows,rfm,1997,1.873536,0.956032,3.481436,2767
fashion_shows,rfm,1998,1.950682,1.021032,4.073307,2863
fashion_shows,rfm,1996,2.242200,0.978209,1.470753,697
fashion_shows,rfm,1991,4.645833,0.797191,-0.518131,377
fashion_shows,rfm,1992,3.083333,0.950156,0.431774,503
fashion_shows,rfm,1993,3.077731,1.273925,1.977946,705
fashion_shows,rfm,1987,6.234831,-0.673172,-1.191690,47
fashion_shows,rfm,1988,7.636018,-0.372715,-1.459644,82
fashion_shows,rfm,1990,9.234379,0.287625,-1.412932,198
fashion_shows,rfm,1984,0.496669,-1.532368,0.000000,3
fashion_shows,rfm,1981,0.000000,0.000000,0.000000,1
fashion_shows,rfm,1985,5.036517,-0.838836,-0.198788,8
fashion_shows,rfm,1989,6.540110,-0.832250,-0.732612,75
fashion_shows,rfm,1986,4.830918,-1.233738,1.108235,12
fashion_shows,rfm,1982,0.000000,0.000000,0.000000,1
fashion_shows,rfm,1980,0.000000,0.000000,0.000000,1
advertisements,height_cm,2021,4.000000,-0.774843,2.596202,2394
advertisements,height_cm,2023,3.000000,-0.579571,3.559983,2520
advertisements,height_cm,2024,3.000000,-0.877167,4.156068,2095
advertisements,height_cm,2017,3.000000,-1.011771,1.891573,2716
advertisements,height_cm,2018,3.000000,-1.182200,2.882178,2991
advertisements,height_cm,2019,3.000000,-1.146615,2.942384,3090
advertisements,height_cm,2020,3.000000,-0.974848,3.858161,2351
advertisements,height_cm,2022,3.000000,-0.766454,4.736114,2636
advertisements,height_cm,2015,4.000000,-0.792380,1.707757,2750
advertisements,height_cm,2008,3.125000,-1.123692,2.389537,760
advertisements,height_cm,2009,4.000000,-1.004724,2.486590,1041
advertisements,height_cm,2010,4.000000,-0.613170,1.394469,1249
advertisements,height_cm,2011,2.500000,-0.833818,1.994034,1642
advertisements,height_cm,2012,2.250000,-1.268794,3.332422,2068
advertisements,height_cm,2013,2.000000,-1.032514,2.279352,2459
advertisements,height_cm,2014,3.500000,-0.967534,2.657214,2486
advertisements,height_cm,2016,3.000000,-0.913217,1.351328,3001
advertisements,height_cm,2007,4.000000,-0.579529,0.117013,346
advertisements,height_cm,2003,4.000000,-0.651203,0.365438,153
advertisements,height_cm,1998,4.750000,-0.215704,-0.756280,162
advertisements,height_cm,1999,4.000000,-1.476983,3.848770,170
advertisements,height_cm,2000,4.500000,-0.772991,0.517225,164
advertisements,height_cm,2001,4.500000,-1.103651,2.489478,162
advertisements,height_cm,2004,3.000000,-0.876132,1.460052,234
advertisements,height_cm,2006,3.500000,-0.802106,2.223839,301
advertisements,height_cm,2002,3.500000,-1.064352,1.293836,164
advertisements,height_cm,2005,3.750000,-0.444527,0.366397,235
advertisements,height_cm,1995,4.000000,-0.656308,0.890162,91
advertisements,height_cm,1996,3.000000,-0.578161,-0.005842,153
advertisements,height_cm,1997,4.000000,-0.499165,-0.435747,165
advertisements,height_cm,1990,3.000000,-0.338908,2.091284,69
advertisements,height_cm,1992,3.250000,-0.634502,0.864868,90
advertisements,height_cm,1993,2.500000,-0.559329,0.092077,109
advertisements,height_cm,1994,2.500000,-1.272879,1.766301,87
advertisements,height_cm,1991,1.000000,-1.556844,4.304090,84
advertisements,height_cm,1982,3.000000,0.255235,-1.799563,16
advertisements,height_cm,1983,2.500000,-0.520151,0.306070,18
advertisements,height_cm,1984,3.000000,-0.024780,-1.557872,18
advertisements,height_cm,1987,1.000000,-0.558114,1.056405,47
advertisements,height_cm,1988,1.500000,0.331150,0.564193,51
advertisements,height_cm,1989,2.000000,0.711109,0.539293,39
advertisements,height_cm,1976,0.000000,-3.316625,11.000000,11
advertisements,height_cm,1985,4.000000,-0.384245,-1.644936,17
advertisements,height_cm,1986,2.000000,-0.803965,0.339984,25
advertisements,height_cm,1977,1.000000,1.229634,-0.840000,7
advertisements,height_cm,1978,3.000000,-0.438314,-0.544800,8
advertisements,height_cm,1979,0.000000,1.437962,3.602854,6
advertisements,height_cm,1980,1.500000,-1.875080,4.951984,10
advertisements,height_cm,1981,2.000000,-0.383807,-1.755682,13
advertisements,height_cm,1970,0.000000,0.000000,0.000000,1
advertisements,height_cm,1971,0.000000,0.000000,0.000000,5
advertisements,height_cm,1972,0.000000,0.000000,0.000000,9
advertisements,height_cm,1973,0.000000,0.000000,0.000000,8
advertisements,height_cm,1974,0.000000,0.000000,0.000000,11
advertisements,height_cm,1975,0.000000,0.000000,0.000000,8
advertisements,bust-eu_clean,2021,6.000000,1.565994,5.602904,2394
advertisements,bust-eu_clean,2023,5.000000,1.582771,5.966159,2520
advertisements,bust-eu_clean,2024,5.000000,1.797282,7.463555,2095
advertisements,bust-eu_clean,2017,5.000000,1.085559,6.051356,2716
advertisements,bust-eu_clean,2018,6.000000,1.446323,7.374111,2991
advertisements,bust-eu_clean,2019,5.000000,1.224121,6.292651,3090
advertisements,bust-eu_clean,2020,6.000000,1.348785,5.588882,2351
advertisements,bust-eu_clean,2022,6.000000,1.718089,6.091374,2636
advertisements,bust-eu_clean,2015,5.000000,1.432468,8.286938,2750
advertisements,bust-eu_clean,2008,3.000000,-0.298961,0.323428,760
advertisements,bust-eu_clean,2009,5.000000,-0.126082,-0.188210,1041
advertisements,bust-eu_clean,2010,5.000000,0.976125,4.568596,1249
advertisements,bust-eu_clean,2011,5.000000,1.223654,8.186433,1642
advertisements,bust-eu_clean,2012,5.000000,1.265131,12.073184,2068
advertisements,bust-eu_clean,2013,5.000000,1.057886,8.717710,2459
advertisements,bust-eu_clean,2014,5.000000,1.030563,7.438942,2486
advertisements,bust-eu_clean,2016,4.000000,1.936048,10.303507,3001
advertisements,bust-eu_clean,2007,5.000000,-0.235355,-0.539583,346
advertisements,bust-eu_clean,2003,2.500000,-0.212967,0.134411,153
advertisements,bust-eu_clean,1998,2.500000,-0.603180,0.570342,162
advertisements,bust-eu_clean,1999,1.500000,-0.425268,2.859148,170
advertisements,bust-eu_clean,2000,2.500000,-1.105107,0.796616,164
advertisements,bust-eu_clean,2001,2.500000,-0.181359,0.789723,162
advertisements,bust-eu_clean,2004,2.500000,-0.009936,-0.256950,234
advertisements,bust-eu_clean,2006,2.500000,-0.255765,-0.156740,301
advertisements,bust-eu_clean,2002,2.500000,-0.432389,-0.341453,164
advertisements,bust-eu_clean,2005,2.000000,-0.285046,0.385286,235
advertisements,bust-eu_clean,1995,1.000000,0.742001,0.936679,91
advertisements,bust-eu_clean,1996,0.000000,-0.881789,4.313016,153
advertisements,bust-eu_clean,1997,0.500000,-1.219293,4.421437,165
advertisements,bust-eu_clean,1990,1.500000,0.983515,-0.265744,69
advertisements,bust-eu_clean,1992,2.250000,0.871390,-0.472708,90
advertisements,bust-eu_clean,1993,0.000000,1.449754,1.095320,109
advertisements,bust-eu_clean,1994,0.000000,-1.166742,8.707920,87
advertisements,bust-eu_clean,1991,1.500000,0.639249,0.484402,84
advertisements,bust-eu_clean,1982,3.500000,-0.278829,-2.218734,16
advertisements,bust-eu_clean,1983,3.500000,0.055551,-2.149478,18
advertisements,bust-eu_clean,1984,3.500000,-0.787973,-1.538726,18
advertisements,bust-eu_clean,1987,0.000000,1.380029,0.827539,47
advertisements,bust-eu_clean,1988,1.250000,1.238686,0.475664,51
advertisements,bust-eu_clean,1989,4.000000,0.061134,-0.142685,39
advertisements,bust-eu_clean,1976,0.000000,-2.807982,8.042100,11
advertisements,bust-eu_clean,1985,4.000000,0.474707,-1.735280,17
advertisements,bust-eu_clean,1986,3.500000,1.201598,-0.202997,25
advertisements,bust-eu_clean,1977,2.500000,1.229634,-0.840000,7
advertisements,bust-eu_clean,1978,5.000000,0.000000,-2.800000,8
advertisements,bust-eu_clean,1979,0.000000,2.449490,6.000000,6
advertisements,bust-eu_clean,1980,2.625000,1.035098,-1.224490,10
advertisements,bust-eu_clean,1981,3.500000,-0.175204,-2.363636,13
advertisements,bust-eu_clean,1970,0.000000,0.000000,0.000000,1
advertisements,bust-eu_clean,1971,0.000000,0.000000,0.000000,5
advertisements,bust-eu_clean,1972,0.000000,0.000000,0.000000,9
advertisements,bust-eu_clean,1973,0.000000,0.000000,0.000000,8
advertisements,bust-eu_clean,1974,0.000000,0.000000,0.000000,11
advertisements,bust-eu_clean,1975,0.000000,0.000000,0.000000,8
advertisements,waist-eu_clean,2021,3.000000,2.880597,9.258761,2394
advertisements,waist-eu_clean,2023,3.000000,3.030130,11.186486,2520
advertisements,waist-eu_clean,2024,2.000000,3.277531,13.172365,2095
advertisements,waist-eu_clean,2017,2.000000,3.498364,19.825244,2716
advertisements,waist-eu_clean,2018,2.000000,3.875536,21.794321,2991
advertisements,waist-eu_clean,2019,2.000000,3.775231,21.957854,3090
advertisements,waist-eu_clean,2020,2.000000,3.373088,15.080784,2351
advertisements,waist-eu_clean,2022,2.000000,2.962333,9.812781,2636
advertisements,waist-eu_clean,2015,1.000000,3.900635,25.279286,2750
advertisements,waist-eu_clean,2008,1.000000,1.271888,6.199205,760
advertisements,waist-eu_clean,2009,1.000000,1.637670,8.237821,1041
advertisements,waist-eu_clean,2010,1.000000,3.064781,15.692048,1249
advertisements,waist-eu_clean,2011,1.000000,2.375728,12.858965,1642
advertisements,waist-eu_clean,2012,1.000000,4.094631,34.843088,2068
advertisements,waist-eu_clean,2013,1.000000,3.928745,30.837468,2459
advertisements,waist-eu_clean,2014,1.000000,3.652373,22.973235,2486
advertisements,waist-eu_clean,2016,2.000000,3.625150,20.406874,3001
advertisements,waist-eu_clean,2007,1.000000,1.314308,5.075406,346
advertisements,waist-eu_clean,2003,2.000000,-0.064387,3.038107,153
advertisements,waist-eu_clean,1998,2.000000,2.223934,10.867060,162
advertisements,waist-eu_clean,1999,2.000000,0.517934,-0.131077,170
advertisements,waist-eu_clean,2000,2.000000,0.145709,1.308535,164
advertisements,waist-eu_clean,2001,2.000000,-0.425663,1.513303,162
advertisements,waist-eu_clean,2004,1.750000,1.577407,6.467647,234
advertisements,waist-eu_clean,2006,2.000000,1.077708,3.534430,301
advertisements,waist-eu_clean,2002,2.000000,0.254650,2.502327,164
advertisements,waist-eu_clean,2005,2.200000,0.746837,4.066996,235
advertisements,waist-eu_clean,1995,4.750000,1.263054,2.241273,91
advertisements,waist-eu_clean,1996,4.000000,0.659219,0.815163,153
advertisements,waist-eu_clean,1997,4.000000,1.059991,2.639396,165
advertisements,waist-eu_clean,1990,3.000000,1.698567,3.065257,69
advertisements,waist-eu_clean,1992,6.000000,1.176209,1.211721,90
advertisements,waist-eu_clean,1993,6.000000,0.857839,0.339704,109
advertisements,waist-eu_clean,1994,5.500000,1.241218,1.341233,87
advertisements,waist-eu_clean,1991,3.500000,1.613596,2.006651,84
advertisements,waist-eu_clean,1982,2.250000,0.400440,0.725271,16
advertisements,waist-eu_clean,1983,7.750000,0.388563,-0.881542,18
advertisements,waist-eu_clean,1984,5.000000,0.720511,1.801232,18
advertisements,waist-eu_clean,1987,5.500000,1.489077,2.083019,47
advertisements,waist-eu_clean,1988,6.000000,1.384590,1.249061,51
advertisements,waist-eu_clean,1989,6.250000,0.964254,-0.144154,39
advertisements,waist-eu_clean,1976,0.000000,-1.922718,2.037037,11
advertisements,waist-eu_clean,1985,4.000000,-0.083273,-1.126965,17
advertisements,waist-eu_clean,1986,7.000000,1.422671,2.272077,25
advertisements,waist-eu_clean,1977,2.500000,1.229634,-0.840000,7
advertisements,waist-eu_clean,1978,5.000000,-0.404061,-0.228571,8
advertisements,waist-eu_clean,1979,0.000000,2.449490,6.000000,6
advertisements,waist-eu_clean,1980,1.000000,-2.653711,7.544643,10
advertisements,waist-eu_clean,1981,1.000000,3.318637,11.505915,13
advertisements,waist-eu_clean,1970,0.000000,0.000000,0.000000,1
advertisements,waist-eu_clean,1971,0.000000,0.000000,0.000000,5
advertisements,waist-eu_clean,1972,0.000000,0.000000,0.000000,9
advertisements,waist-eu_clean,1973,0.000000,0.000000,0.000000,8
advertisements,waist-eu_clean,1974,0.000000,0.000000,0.000000,11
advertisements,waist-eu_clean,1975,0.000000,0.000000,0.000000,8
advertisements,hips-eu_clean,2021,2.500000,3.592033,13.934766,2394
advertisements,hips-eu_clean,2023,2.500000,4.135922,22.386568,2520
advertisements,hips-eu_clean,2024,2.500000,3.913593,21.092434,2095
advertisements,hips-eu_clean,2017,2.500000,4.904311,36.140374,2716
advertisements,hips-eu_clean,2018,2.500000,4.780199,30.651254,2991
advertisements,hips-eu_clean,2019,2.500000,4.592354,30.927858,3090
advertisements,hips-eu_clean,2020,2.500000,4.059817,20.438704,2351
advertisements,hips-eu_clean,2022,2.500000,3.565274,15.087084,2636
advertisements,hips-eu_clean,2015,2.500000,5.364888,45.444764,2750
advertisements,hips-eu_clean,2008,2.500000,0.788942,1.579371,760
advertisements,hips-eu_clean,2009,2.500000,0.616832,4.846962,1041
advertisements,hips-eu_clean,2010,2.500000,5.032062,46.692993,1249
advertisements,hips-eu_clean,2011,2.500000,4.412832,39.221970,1642
advertisements,hips-eu_clean,2012,2.500000,6.481002,79.039296,2068
advertisements,hips-eu_clean,2013,2.500000,5.840916,62.869626,2459
advertisements,hips-eu_clean,2014,2.500000,4.481540,36.221965,2486
advertisements,hips-eu_clean,2016,2.500000,5.412719,37.880389,3001
advertisements,hips-eu_clean,2007,2.500000,1.148352,4.298521,346
