year,category,gender,count
2023,Lookbooks,male,643
2023,Lookbooks,unknown,168
2024,Lookbooks,female,1003
2024,Lookbooks,male,628
2024,Lookbooks,unknown,139
2025,Lookbooks,female,436
2025,Lookbooks,male,283
2025,Lookbooks,unknown,49
2000,Catalogues,female,4
2001,Catalogues,female,2
2002,Catalogues,female,5
2003,Catalogues,female,23
2003,Catalogues,male,1
2003,Catalogues,unknown,1
2004,Catalogues,female,7
2005,Catalogues,female,6
2005,Catalogues,male,1
2006,Catalogues,female,17
2007,Catalogues,female,38
2008,Catalogues,female,93
2008,Catalogues,male,3
2008,Catalogues,unknown,3
2009,Catalogues,female,193
2009,Catalogues,male,29
2010,Catalogues,female,445
2010,Catalogues,male,81
2010,Catalogues,unknown,8
2011,Catalogues,female,759
2011,Catalogues,male,120
2011,Catalogues,unknown,17
2012,Catalogues,female,1055
2012,Catalogues,male,162
2012,Catalogues,unknown,15
2013,Catalogues,female,1239
2013,Catalogues,male,156
2013,Catalogues,unknown,33
2014,Catalogues,female,1934
2014,Catalogues,male,206
2014,Catalogues,unknown,46
2015,Catalogues,female,2068
2015,Catalogues,male,301
2015,Catalogues,unknown,75
2016,Catalogues,female,2433
2016,Catalogues,male,321
2016,Catalogues,unknown,104
2017,Catalogues,female,2105
2017,Catalogues,male,387
2017,Catalogues,unknown,129
2018,Catalogues,female,2365
2018,Catalogues,male,454
2018,Catalogues,unknown,191
2019,Catalogues,female,2689
2019,Catalogues,male,660
2019,Catalogues,unknown,282
2020,Catalogues,female,1492
2020,Catalogues,male,319
2020,Catalogues,unknown,150
2021,Catalogues,female,1259
2021,Catalogues,male,264
2021,Catalogues,unknown,141
2022,Catalogues,female,1958
2022,Catalogues,male,538
2022,Catalogues,unknown,269
2023,Catalogues,female,1665
2023,Catalogues,male,501
2023,Catalogues,unknown,229
2024,Catalogues,female,1286
2024,Catalogues,male,405
2024,Catalogues,unknown,175
2025,Catalogues,female,593
2025,Catalogues,male,230
2025,Catalogues,unknown,85
2000,Magazine Covers,female,969
2000,Magazine Covers,male,18
2000,Magazine Covers,unknown,6
2001,Magazine Covers,female,1108
2001,Magazine Covers,male,12
2001,Magazine Covers,unknown,9
2002,Magazine Covers,female,1112
2002,Magazine Covers,male,19
2002,Magazine Covers,unknown,10
2003,Magazine Covers,female,1147
2003,Magazine Covers,male,16
2003,Magazine Covers,unknown,13
2004,Magazine Covers,female,1392
2004,Magazine Covers,male,12
2004,Magazine Covers,unknown,7
2005,Magazine Covers,female,1511
2005,Magazine Covers,male,30
2005,Magazine Covers,unknown,27
2006,Magazine Covers,female,1678
2006,Magazine Covers,male,30
2006,Magazine Covers,unknown,14
2007,Magazine Covers,female,1740
2007,Magazine Covers,male,42
2007,Magazine Covers,unknown,18
2008,Magazine Covers,female,2026
2008,Magazine Covers,male,46
2008,Magazine Covers,unknown,23
2009,Magazine Covers,female,2455
2009,Magazine Covers,male,47
2009,Magazine Covers,unknown,52
2010,Magazine Covers,female,3167
2010,Magazine Covers,male,65
2010,Magazine Covers,unknown,50
2011,Magazine Covers,female,4139
2011,Magazine Covers,male,132
2011,Magazine Covers,unknown,52
2012,Magazine Covers,female,4569
2012,Magazine Covers,male,145
2012,Magazine Covers,unknown,80
2013,Magazine Covers,female,4155
2013,Magazine Covers,male,160
2013,Magazine Covers,unknown,68
2014,Magazine Covers,female,2385
2014,Magazine Covers,male,117
2014,Magazine Covers,unknown,37
2015,Magazine Covers,female,1978
2015,Magazine Covers,male,161
2015,Magazine Covers,unknown,50
2016,Magazine Covers,female,1830
2016,Magazine Covers,male,145
2016,Magazine Covers,unknown,36
2017,Magazine Covers,female,1745
2017,Magazine Covers,male,174
2017,Magazine Covers,unknown,29
2018,Magazine Covers,female,1697
