node,x,y,node_type,centrality
model_01839,-3.308591,-29.592993,model,0.003505
Kenzo Menswear,-3.323235,-29.666981,brand,4.7e-05
model_01840,-4.092391,-37.602196,model,0.010137
The Line,-13.46162,-17.055815,magazine,0.001468
model_01843,39.825447,30.016796,model,0.001374
9 PM Barcelona,25.898222,16.479959,brand,4.7e-05
Cardona Bonache,42.614128,47.118069,brand,0.000237
JW Anderson,15.821344,43.090611,brand,9.5e-05
Schipper/Arques,25.906624,16.419611,brand,4.7e-05
Sustainable Show,40.260303,30.122349,brand,4.7e-05
model_01844,-73.593872,0.833698,model,0.001184
model_01845,-38.17865,13.716824,model,4.7e-05
model_01846,-41.889172,19.786501,model,4.7e-05
model_01847,7.145295,50.374409,model,0.000332
Katya Leonovich,29.367142,35.267452,brand,0.000379
model_01848,-66.957596,26.392151,model,0.000521
model_01849,-70.43264,22.763687,model,0.000332
model_01850,-41.777214,-34.798092,model,0.001326
model_01851,-58.527161,-12.330266,model,0.000284
model_01852,2.449971,49.741219,model,0.000758
model_01853,-50.962765,30.853891,model,0.000237
model_01854,-37.777031,23.894545,model,0.000853
model_01855,10.522614,-85.678452,model,0.001658
Akira,11.264242,-90.627769,brand,0.000189
Alistair Trung,10.429784,-85.21566,brand,4.7e-05
Arabella Ramsay,10.606442,-85.184326,brand,4.7e-05
Camilla & Marc,10.741617,-84.747215,brand,0.000474
Daniela Orlando,10.659969,-85.19265,brand,4.7e-05
Kylie Hawkes,10.764466,-85.219307,brand,4.7e-05
Obus,11.680868,-90.105118,brand,9.5e-05
Scanlon & Theodore,10.636673,-85.32399,brand,4.7e-05
Tina Kalivas,10.703526,-85.156776,brand,4.7e-05
model_01859,-45.056332,-4.820183,model,0.000805
model_01861,-14.128329,46.414608,model,9.5e-05
model_01862,-43.209152,-30.714014,model,0.000142
model_01863,-49.924942,-27.058037,model,0.003505
model_01864,95.833145,5.798769,model,0.001232
H By Hakaan Yildirim,20.422955,25.895735,brand,0.000332
Marques'Almeida,22.783342,26.99099,brand,0.001089
model_01867,-1.168011,-18.562126,model,0.002984
model_01868,-7.628164,14.72024,model,0.008005
Love Moschino,-1.484364,70.973442,brand,0.000474
model_01870,4.62993,64.715721,model,9.5e-05
A.F Vandevorst,4.632069,64.71566,brand,4.7e-05
model_01872,-7.488141,37.616768,model,0.000947
Calvin Klein Presentation,-7.568921,37.535831,brand,4.7e-05
model_01874,-2.650909,-8.430875,model,0.000474
model_01875,-12.893289,-28.30493,model,0.009332
model_01876,-49.259502,-32.79377,model,4.7e-05
model_01878,-14.0801,-77.39035,model,0.001042
CPH Vision,-13.901844,-76.88131,brand,9.5e-05
Ciff,-13.36412,-76.272255,brand,4.7e-05
Day Birger et Mikkelsen,-14.279239,-74.38063,brand,0.000237
Yde,-13.558798,-76.639938,brand,4.7e-05
model_01880,14.357736,-76.484268,model,4.7e-05
model_01882,-28.257851,-4.770678,model,0.000237
model_01883,17.279182,-20.844641,model,0.007295
Antiono Marras,16.860638,-20.407894,brand,4.7e-05
Hugo Boss Orange,18.470627,-19.582802,brand,0.000284
Joop,-81.26651,34.51487,brand,0.001611
model_01886,-11.127905,-19.335796,model,0.0018
model_01887,-33.784153,66.117554,model,0.001279
Giacobbe,-33.640606,64.88147,brand,0.000142
Schang-Viton,66.650612,29.849695,brand,0.000142
Adriana Constantini,-33.865276,65.59314,brand,4.7e-05
Iara Alta Costura,-33.866016,65.60746,brand,4.7e-05
Pia Carregal,-33.799191,65.577705,brand,4.7e-05
Esme Vie,-33.911709,65.683876,brand,4.7e-05
Greta Boldini,-33.762161,65.612503,brand,4.7e-05
Quattromani,-32.509758,65.820312,brand,9.5e-05
Sara Lanzi,-33.791477,65.58139,brand,4.7e-05
Atelier Persechino,-32.750553,65.74733,brand,9.5e-05
Davide Grillo,-33.724068,65.598778,brand,4.7e-05
Dubiï¿½,-33.825237,65.52092,brand,9.5e-05
Fabian Zitta,49.902435,34.35479,brand,0.000142
Marianna Cimini,-33.834095,65.586288,brand,4.7e-05
Tramando,42.485363,48.04916,brand,0.000142
Valdez Shoes,-33.806271,65.587837,brand,4.7e-05
model_01888,17.238144,49.408081,model,0.000616
Dean Quin,17.178593,49.280708,brand,4.7e-05
Ecco Domani,17.18498,49.252743,brand,4.7e-05
Future Classics,28.668278,54.502518,brand,0.000189
Salvor Projects,17.174288,49.568787,brand,9.5e-05
model_01889,-23.279577,-40.295399,model,0.001753
model_01890,69.485321,45.020496,model,0.001042
Paola Hernandez,73.05442,47.415623,brand,0.000284
Teamo,69.196297,48.852371,brand,0.000189
Marvin & Quetzal,75.867317,47.910046,brand,0.000284
Blind Love,68.426712,46.251057,brand,4.7e-05
Cocolat,72.393463,46.226757,brand,0.000142
Mariana Luna,69.462921,45.87001,brand,4.7e-05
Ozuna,65.9562,48.376034,brand,0.000142
Ocelote,69.548416,56.257633,brand,0.000332
model_01891,-53.824562,20.543829,model,0.000711
model_01892,54.338512,31.839298,model,0.000189
model_01893,-29.812269,-5.237826,model,0.000474
model_01894,-25.677153,-44.204868,model,0.001421
model_01896,-30.833052,10.158949,model,4.7e-05
model_01897,-38.620251,17.606562,model,9.5e-05
model_01898,-19.692881,18.551682,model,9.5e-05
model_01899,-46.614399,-15.660807,model,9.5e-05
model_01900,-63.853535,9.229423,model,9.5e-05
model_01901,61.992142,-50.76955,model,0.000426
Kaohs,63.411179,-52.295815,brand,0.000189
Lil x Emm,63.807156,-53.044601,brand,0.000189
VDM the Label,62.533749,-52.48381,brand,0.000142
model_01902,-55.04834,-13.250617,model,0.001895
model_01903,-23.95496,-44.72039,model,0.001847
model_01907,60.927402,55.912716,model,0.001089
Moravy,65.259506,56.854126,brand,0.000284
Pompi Garcia,64.983498,56.895416,brand,0.000284
model_01908,13.424914,47.926075,model,0.000379
model_01909,-29.966221,-6.115314,model,0.000332
model_01910,-7.858621,76.969292,model,0.000379
model_01911,-36.848701,-20.629879,model,0.003316
model_01912,46.530354,-22.718683,model,0.002132
Franziska Michael,46.480053,-22.673548,brand,4.7e-05
Maisonnoï¿½e,46.480255,-22.681225,brand,9.5e-05
Rami Kadi,46.470341,-22.666807,brand,4.7e-05
model_01913,-21.501591,-5.346384,model,0.004832
model_01914,-28.997086,13.324056,model,0.000332
Anton Belinskiy,-31.431318,13.474036,brand,9.5e-05
model_01916,-49.268169,-25.223581,model,0.001374
model_01917,7.753718,43.897774,model,0.000805
Amaya Arazuaga,7.743561,43.964508,brand,9.5e-05
model_01918,-30.748167,31.805552,model,0.000379
model_01919,-9.474211,-64.10582,model,0.001232
model_01920,-82.139755,33.375751,model,0.003174
Marlon Gobel,-81.294388,37.652069,brand,0.000332
model_01921,-48.241768,-15.716784,model,0.005447
model_01922,-53.920952,-29.566578,model,0.001279
model_01923,-75.642929,-11.221782,model,4.7e-05
model_01924,-37.208561,-18.517973,model,9.5e-05
model_01925,-75.386864,-5.429119,model,0.002511
model_01927,-18.957582,-5.798844,model,0.002747
model_01928,21.351482,23.768389,model,0.000521
model_01929,-0.066393,-30.401772,model,0.007105
Fashion's Night Out: The Show,3.265478,0.391545,brand,4.7e-05
Moncler Gamme Rogue,-0.154901,-30.029303,brand,9.5e-05
model_01932,-32.333179,27.225599,model,0.002463
model_01933,9.061358,51.218906,model,0.000189
model_01934,71.615952,40.479351,model,4.7e-05
model_01935,11.667056,58.473679,model,0.000142
model_01936,-42.054489,44.800724,model,0.001753
model_01937,3.445462,42.680405,model,0.006016
Devidelfin,3.484584,42.570629,brand,4.7e-05
Lyn Devon,6.654499,49.302181,brand,9.5e-05
model_01938,21.451569,54.162502,model,0.000474
Bernard Chandra,21.437223,54.216095,brand,4.7e-05
Nathan Jende,21.416405,54.231533,brand,4.7e-05
Poleci,15.128893,61.033722,brand,0.000332
Sachin and Babi,21.410868,54.23737,brand,4.7e-05
model_01939,-66.029289,-13.714146,model,0.000284
model_01943,7.146861,-74.391075,model,0.0108
Aarli,8.9224,-77.271805,brand,9.5e-05
Aquintic,7.221084,-74.063713,brand,4.7e-05
Bei Na Wei,7.136014,-74.016487,brand,4.7e-05
Doris Q,7.116414,-74.142685,brand,4.7e-05
Grace Lillian Lee,8.895299,-77.713997,brand,9.5e-05
Hayley Dawson,6.938864,-74.020103,brand,4.7e-05
RachelAlex,7.611649,-73.947517,brand,4.7e-05
Witchery,10.71966,-78.912727,brand,0.000474
Yousef Akbar,7.295632,-74.069077,brand,4.7e-05
Akira Isogawa,10.935453,-80.121246,brand,0.000237
MacGraw,10.076082,-78.623581,brand,0.000332
Steven Khalil,10.77268,-80.265724,brand,0.000237
VAMFF,10.610518,-80.140404,brand,0.000237
model_01944,-0.009212,54.251736,model,0.003268
model_01945,-14.702887,2.30585,model,0.002747
model_01946,47.795238,-13.013045,model,0.000379
model_01947,-82.900352,20.940399,model,0.000284
model_01948,-80.480553,24.786247,model,0.001989
model_01949,-47.202599,2.116932,model,0.000805
model_01950,-49.25668,42.248333,model,0.000758
model_01951,-4.899112,-62.770664,model,0.000237
model_01953,-43.825184,-3.551567,model,0.000237
model_01954,-57.680107,-22.904823,model,0.000189
model_01955,-63.473873,-16.325163,model,0.000663
model_01956,-77.830849,23.777067,model,0.001089
model_01957,-78.075607,36.32888,model,0.001563
Charlie May,50.393967,-20.269529,brand,0.000189
model_01958,-61.334312,-10.993778,model,4.7e-05
model_01960,-38.445488,-5.203982,model,0.000663
Yuzefi,-52.795418,0.722131,brand,0.000663
model_01961,30.822601,-77.745018,model,0.001942
Gail Sorronda,18.60854,-83.181747,brand,0.000474
Jamie Ashkar,29.100822,-77.428215,brand,9.5e-05
One Fell Swoop,30.046379,-76.588615,brand,9.5e-05
Raffles (College),30.380146,-77.635109,brand,9.5e-05
model_01962,-29.622023,7.834436,model,0.000805
model_01964,-48.2962,17.942625,model,0.000284
model_01965,6.267762,44.365158,model,0.000237
model_01966,4.797686,42.366142,model,0.000189
model_01967,-40.068916,15.540987,model,0.000189
model_01968,24.187668,6.591059,model,0.000426
model_01969,4.788465,-7.628875,model,0.00559
model_01972,-20.999695,37.665157,model,0.001989
model_01973,18.391827,39.545719,model,0.000237
model_01974,-9.489618,-23.851746,model,0.004689
model_01976,-7.72367,7.888472,model,0.001468
model_01977,-47.977562,37.591885,model,4.7e-05
model_01978,30.672089,22.425915,model,0.001326
Malaika Raiss,16.574133,25.391895,brand,0.000284
model_01980,-17.479937,5.951118,model,0.002605
model_01981,13.837049,-90.469742,model,0.001516
Alanah Hill,13.521655,-88.123062,brand,4.7e-05
Arthur Galan,13.35604,-87.630905,brand,4.7e-05
Bettina Liano,11.190392,-89.870087,brand,0.000142
Fashion Fullstop Parade,13.963526,-88.389488,brand,4.7e-05
Life with Bird,13.978194,-88.926575,brand,4.7e-05
Lime Drop,13.882762,-88.458656,brand,4.7e-05
Megan Park,11.39771,-88.506363,brand,0.000142
model_01983,16.287407,25.597906,model,0.010279
Blacky Dress,39.532715,65.421715,brand,0.000332
C’N’C CoSTUME NATIONAL,-0.636084,22.08963,brand,0.000284
Ida Sjï¿½stedt,16.021921,25.474817,brand,4.7e-05
Lever Couture,15.958427,25.718882,brand,9.5e-05
Norrback,-3.147032,-65.176506,brand,9.5e-05
Risto Bimbiloski,16.279924,26.612545,brand,9.5e-05
Irina Schrotter,40.11274,64.301064,brand,0.000332
Tara Jarmon,5.850271,14.70635,brand,0.000616
model_01984,-31.614656,-15.178399,model,0.000426
model_01985,31.217211,-28.440519,model,0.000284
model_01986,-35.440456,-6.325886,model,4.7e-05
model_01987,-42.493294,-17.122349,model,0.002037
model_01989,-59.651562,-0.45381,model,0.003126
Corrie Nielsen,22.187183,44.642864,brand,0.000379
model_01990,-39.23597,-25.918856,model,0.0009
model_01991,-43.817379,-22.759497,model,0.000616
model_01992,-4.628623,22.656864,model,0.0081
model_01993,-54.969078,-31.487299,model,0.000568
model_01995,4.707132,19.617878,model,0.004832
Jose Miro,6.650464,19.889425,brand,9.5e-05
Julian Macdonald,4.367091,19.548012,brand,4.7e-05
model_01997,-59.202255,26.090471,model,4.7e-05
model_01998,-57.963081,-19.376892,model,4.7e-05
model_01999,-27.686756,32.792248,model,9.5e-05
model_02000,24.284435,55.068844,model,0.000142
Eric Tibusch,24.290199,55.093761,brand,4.7e-05
Julien Fournie,24.604799,54.773689,brand,0.000142
model_02001,40.325249,-63.935215,model,0.0009
model_02003,2.406556,43.46455,model,0.001184
Karigam,-11.480439,21.973114,brand,0.000379
model_02005,-58.913116,35.63604,model,0.001847
Montblanc,-67.23011,38.513851,brand,0.001137
model_02006,-72.296707,3.469392,model,0.002132
model_02007,-68.648918,-7.302638,model,0.0027
model_02008,-74.630417,-8.716737,model,0.000711
model_02009,-65.736992,6.74834,model,0.002274
model_02010,-12.110712,-75.342644,model,0.000189
model_02012,-18.557838,-6.981766,model,0.000142
model_02015,-50.023911,-7.69937,model,4.7e-05
model_02016,-61.043224,-9.044387,model,0.000568
model_02017,-28.383652,30.787172,model,0.006253
model_02019,-27.035477,45.336517,model,0.002653
model_02020,-91.241554,2.28803,model,0.001421
SAMUEL GUI YANG,-64.322662,2.986255,brand,0.000284
Valstar,-81.794693,2.995278,brand,0.000663
model_02021,-48.961735,-10.697385,model,0.000995
model_02022,-37.314358,-19.007517,model,4.7e-05
model_02023,-82.501892,-1.825116,model,0.003837
Lukhanyo Mdingi,-82.223206,-1.528959,brand,0.000332
model_02025,-80.845169,24.090803,model,0.001374
model_02027,-52.814346,-29.804201,model,0.000711
model_02028,70.870995,28.913004,model,4.7e-05
The Vessel.by Lois,70.87265,28.913717,brand,4.7e-05
model_02029,-18.965986,-17.135515,model,0.003363
David Laport,-18.960848,-17.146702,brand,4.7e-05
Preen Line,-25.341324,20.181526,brand,0.000189
model_02030,25.034269,26.446039,model,0.001895
model_02033,-51.524635,-3.662342,model,0.000237
model_02034,-72.920914,24.127064,model,0.000616
Lauren Ralph Lauren,-72.978302,24.097441,brand,4.7e-05
Yamamay,33.095608,-47.682079,brand,0.001042
model_02035,-42.105656,28.521664,model,0.001421
model_02036,-50.69714,40.735035,model,0.003079
model_02037,-46.127399,27.732733,model,4.7e-05
model_02038,-55.608749,26.934011,model,0.001847
model_02039,-55.832024,28.349632,model,0.0009
model_02040,-32.690197,8.798363,model,0.000521
model_02041,-25.770653,7.231035,model,0.003979
No Editions,-25.902256,7.223279,brand,4.7e-05
model_02043,-42.618477,10.764933,model,0.001421
model_02044,3.563756,-21.293787,model,0.004121
model_02045,-16.707233,-4.031892,model,0.011558
Spur Magazine,-6.636893,77.872604,magazine,0.001279
model_02047,-9.799485,-19.617283,model,0.000284
model_02048,-49.604633,23.153616,model,0.001658
model_02049,-43.670086,-26.841675,model,0.000189
model_02051,-37.12912,-25.606129,model,4.7e-05
model_02056,-33.8606,9.245917,model,0.000189
model_02057,-58.913879,-32.04052,model,0.000663
model_02059,-23.073465,7.278604,model,0.001658
model_02060,32.219604,57.755665,model,0.002037
Arrondissement Aq1,37.392433,65.702148,brand,0.000142
Meadham Kirchoff,32.150131,57.669281,brand,0.000142
model_02061,-62.122169,-6.417208,model,0.001895
model_02062,9.862114,-12.04104,model,0.0036
model_02063,-52.543308,-56.733738,model,0.005921
model_02065,-18.395388,-24.767279,model,0.000995
model_02066,-42.963001,15.845813,model,0.001232
model_02067,-28.779608,46.445358,model,9.5e-05
model_02069,-20.268145,15.533208,model,0.0027
John Smedley,-76.822105,10.42811,magazine,0.000853
model_02070,-59.907475,-0.69597,model,0.000284
model_02071,54.193089,34.698318,model,0.000663
model_02073,-2.902734,-8.222716,model,4.7e-05
model_02075,-74.864502,12.700424,model,0.001705
model_02076,-0.805785,49.456768,model,0.001563
Ecco Domani Fashion Foundation,-0.762371,49.248512,brand,9.5e-05
Erin Wasson x RCVA,-0.656412,49.431137,brand,4.7e-05
model_02077,-1.070217,44.325642,model,9.5e-05
model_02082,-45.509853,21.546867,model,0.001563
model_02083,-75.363075,33.916008,model,0.001374
model_02084,-65.443413,-27.408344,model,4.7e-05
model_02085,23.93438,-52.2911,model,0.001658
model_02086,-51.356716,-12.476425,model,0.002653
model_02087,13.732373,-77.128349,model,0.001705
An Ode to No One,13.52626,-78.300697,brand,0.000142
Bowie Camilla,13.981873,-76.725914,brand,4.7e-05
Magdalena Melevska Roopa Pemmaraju,13.729192,-77.242493,brand,4.7e-05
model_02088,-17.158178,-44.813896,model,0.000947
model_02089,-54.540817,35.468346,model,0.001137
model_02090,-18.61307,-27.408527,model,0.002937
model_02091,55.912994,8.736034,model,0.000379
Dominic Louis,55.944927,8.847247,brand,9.5e-05
Douglas Hannant Pink,56.121811,8.682075,brand,4.7e-05
model_02093,-1.562569,69.003021,model,0.0009
model_02095,-54.964798,-20.468372,model,0.000521
model_02096,-12.07931,-64.255295,model,0.001089
model_02097,-5.081136,48.072681,model,9.5e-05
model_02098,4.212107,-53.589096,model,0.000947
model_02099,-12.251669,43.265823,model,4.7e-05
model_02100,-46.809673,8.346612,model,0.000521
model_02101,86.740005,36.857197,model,4.7e-05
Trelise Cooper,86.741829,36.854626,brand,9.5e-05
model_02102,-89.630646,4.786961,model,0.001942
model_02103,-38.783184,29.51779,model,0.000189
model_02104,-65.141876,-0.966843,model,4.7e-05
model_02106,4.420892,21.466888,model,4.7e-05
model_02107,-2.386276,-48.081982,model,0.010753
model_02108,7.42626,-1.413648,model,0.004689
model_02109,-45.582722,20.284567,model,0.000189
model_02110,-65.180901,-17.541534,model,0.004547
model_02111,-75.475197,-6.677599,model,0.000616
model_02112,-25.835569,29.270231,model,0.005116
model_02113,-38.815372,28.741047,model,0.001611
model_02114,-0.880446,44.363983,model,4.7e-05
model_02116,-8.953439,16.556297,model,4.7e-05
model_02117,-8.681813,76.645897,model,0.001279
model_02119,3.901027,59.269058,model,0.0018
'Attitude' Only at Se,3.916268,58.984943,brand,4.7e-05
Brandon R. Dwye,3.927635,58.986195,brand,4.7e-05
Greta Constantine,3.951283,58.964195,brand,4.7e-05
Italian Designers Next Generation,35.329971,63.82523,brand,0.000189
Keith Lissner,67.31517,47.708504,brand,9.5e-05
Lovas Wesley Badanjak,3.974566,58.978626,brand,4.7e-05
No Ifs,35.738117,64.398018,brand,0.000142
Paul Hardy,3.856956,58.932793,brand,4.7e-05
Travis Taddeo,3.914207,59.006546,brand,4.7e-05
model_02120,-58.872883,18.804684,model,0.001516
model_02121,-21.272905,30.933054,model,0.004263
Marisfrolg,-17.918966,27.826654,brand,9.5e-05
OZZO Couture,-22.574074,30.266994,brand,4.7e-05
EP,-22.168982,32.404583,brand,0.000663
model_02122,56.004978,-29.568041,model,0.000521
model_02123,-74.615334,-7.273555,model,0.000805
model_02124,52.453423,-1.379886,model,0.000237
Dimitris Petrou,52.488335,-1.122167,brand,9.5e-05
Konstantinos Melis by Laskos,52.378716,-1.280284,brand,4.7e-05
Vrettos Vrettakos,52.178467,-1.347881,brand,4.7e-05
model_02125,-4.858355,-9.476868,model,0.010516
David Tlale Sun,-4.776268,-9.465277,brand,4.7e-05
Devastee,56.105724,35.488506,brand,0.000616
model_02126,11.085434,-53.570641,model,0.009663
model_02127,61.96405,53.198513,model,0.001232
Heaven Gaia,28.194555,40.06802,brand,9.5e-05
Victoria Hayes,31.45286,42.054832,brand,0.000237
model_02128,47.613937,-48.008549,model,0.000189
model_02129,52.341347,-54.73904,model,0.001184
360 / Skull Cashmere,31.339634,-63.461643,brand,0.000237
model_02130,-44.275913,31.159023,model,4.7e-05
model_02131,-6.192191,70.451591,model,0.003505
Alexandre Herchovitch,-5.759445,71.389191,brand,4.7e-05
Fabia Bercsek,-5.546736,71.734993,brand,9.5e-05
bebe,-6.153057,70.138702,brand,0.000521
model_02134,28.958265,35.944988,model,0.000142
model_02135,24.029119,-9.108644,model,0.002037
Wes Gordan,24.079193,-9.021791,brand,4.7e-05
model_02137,8.095695,-10.887385,model,0.001421
model_02138,-44.976456,-21.820103,model,0.003268
model_02142,-56.603115,28.359165,model,0.000379
model_02144,44.303513,37.526169,model,0.001468
Alma Aguilar,44.174297,40.950832,brand,0.000189
Dolores Cortez,44.075802,37.453518,brand,4.7e-05
Marï¿½a Barros,43.851322,37.446465,brand,4.7e-05
Miriam Ocariz,44.49091,41.058872,brand,0.000284
Montserrat Bassons,47.005085,41.086601,brand,9.5e-05
model_02146,-41.758198,-20.281427,model,0.003695
model_02147,-43.595242,-5.921681,model,0.000474
model_02148,-45.007584,-36.221573,model,0.001895
model_02149,-61.254047,-17.128128,model,0.000474
model_02150,-5.409441,86.616447,model,0.000332
model_02151,-49.92157,17.885357,model,0.001374
model_02153,40.249527,6.972589,model,0.001232
Pearce Fionda,40.412579,6.984785,brand,4.7e-05
Isabelle Armstrong,40.32835,6.964733,brand,4.7e-05
model_02155,-2.190974,23.777822,model,0.000616
model_02157,-37.476025,5.42959,model,0.000568
model_02159,-10.492027,30.431114,model,9.5e-05
model_02160,12.260961,29.620457,model,0.001895
Audi Forum,11.919657,29.389481,brand,4.7e-05
J. JS. LEE,12.191625,29.527931,brand,9.5e-05
model_02162,-66.356956,-17.623901,model,0.000284
model_02164,-28.22356,-24.793604,model,0.000142
model_02165,-5.38599,41.261318,model,0.007437
Casa de Criadores,6.417005,85.373779,brand,0.000521
model_02166,88.869232,-21.571266,model,0.000521
Claes Iversen,88.434204,-21.81982,brand,0.000426
model_02167,-82.751907,31.809532,model,0.002037
model_02169,-56.412052,26.687365,model,0.001232
model_02171,-46.057827,-18.692921,model,0.001232
model_02174,-54.319336,44.060707,model,0.000379
model_02176,-6.499227,51.200306,model,4.7e-05
model_02177,-38.615643,8.740048,model,0.000284
model_02178,-36.384762,-47.206013,model,0.000853
model_02179,-24.767525,44.574005,model,0.001137
model_02180,-6.90275,-14.298275,model,0.000853
model_02181,12.567668,41.566563,model,0.000332
Basso and Brooke,12.412452,41.431873,brand,4.7e-05
model_02182,-42.973549,42.607643,model,0.000568
model_02183,75.333862,25.040436,model,0.000284
Claudia Jiménez,74.865883,27.195839,brand,9.5e-05
Basement,75.111259,25.739716,brand,9.5e-05
model_02184,1.61637,-46.304005,model,0.004263
model_02187,-49.623241,-19.9769,model,0.001847
model_02188,28.845112,-1.789711,model,9.5e-05
model_02193,-83.874466,15.231033,model,0.009521
Mark McNairy New Amsterdam,67.336716,47.011948,brand,0.000284
model_02194,-80.304886,9.176577,model,0.0009
Homme Plissé Issey Miyake,-80.804283,-0.718592,brand,0.000189
model_02195,-58.491215,-32.259811,model,0.002368
model_02196,-29.006922,3.424779,model,0.002937
SIMONMILLER,-34.119068,23.999748,brand,0.000568
model_02198,-83.049721,33.530914,model,0.001516
model_02200,-30.090599,-10.436317,model,0.0009
model_02201,-38.710255,23.146128,model,0.001468
model_02202,17.830442,47.57592,model,0.000474
Dévastée,17.604511,47.478485,brand,4.7e-05
model_02203,21.304693,-46.710114,model,0.000616
model_02204,-2.517435,-31.856073,model,0.010847
Arise African Collective,0.186388,49.48111,brand,0.000142
model_02205,-6.232258,14.748909,model,0.009521
Victoria by Victoria Beckham,-11.780866,56.492577,brand,0.000332
model_02206,-75.488815,11.666471,model,0.000805
model_02207,-73.273605,30.712353,model,0.000758
Shanghai Tang,-89.448059,1.332928,brand,0.001421
model_02208,-61.529202,-11.177285,model,4.7e-05
model_02209,-80.685036,15.895825,model,0.003458
model_02211,-37.421097,-20.359417,model,0.004642
model_02212,-57.295876,-30.712313,model,0.000332
model_02213,-9.020074,5.493229,model,0.002795
model_02215,74.620766,49.306629,model,0.002179
Carlos Ortega,69.648697,48.376011,brand,0.000142
Cesar Arellanes,73.984985,46.622879,brand,0.000189
Clara Gonzalez,74.258415,45.10463,brand,0.000426
Grypho,73.681892,43.865715,brand,0.000142
Vianet Covarrubias,71.505066,48.255157,brand,4.7e-05
Allegri,71.341797,48.327744,brand,4.7e-05
Comex,71.618828,48.550266,brand,4.7e-05
Faded Glory,71.221802,48.417934,brand,4.7e-05
Gilt Group,69.078911,48.831093,brand,4.7e-05
Nima Taherzadeh,71.319832,48.095295,brand,4.7e-05
Paola Hernández,74.662605,48.999893,brand,9.5e-05
Sergio Davila,74.273018,26.002043,brand,0.000189
White Trash Beautiful,70.875847,47.668808,brand,4.7e-05
Absent Heroes,71.159187,48.518162,brand,4.7e-05
Sears Fashion Parade,71.059898,44.882248,brand,0.000142
Etre,68.037834,49.092018,brand,9.5e-05
Guillermo Leon,66.829376,48.189251,brand,4.7e-05
model_02216,-22.984186,26.517544,model,0.009142
Ban Xiao Xue,-22.761477,26.464327,brand,4.7e-05
Celia B,-22.790369,26.561514,brand,4.7e-05
Ji Cheng,-22.852343,26.667566,brand,4.7e-05
Haizhen Wang,21.630655,27.868814,brand,0.000142
model_02217,-51.796986,-0.137259,model,0.000189
model_02218,10.141053,-20.390589,model,0.000663
model_02219,-80.475616,1.167429,model,0.0018
model_02220,-54.637054,12.470133,model,4.7e-05
model_02222,27.432159,46.789135,model,4.7e-05
model_02224,2.865838,-19.761745,model,0.000995
model_02225,-4.215135,-27.740355,model,0.0153
Caroline Herrera,-4.192742,-27.717077,brand,4.7e-05
model_02226,-14.876572,6.07444,model,0.000711
model_02227,3.778572,-18.556534,model,0.001563
model_02228,-35.556248,2.028766,model,0.001421
model_02229,-2.952924,7.401576,model,0.010847
model_02230,29.051558,-56.542427,model,0.003079
model_02231,-3.651424,-8.599466,model,0.000474
model_02234,14.127251,30.635159,model,0.000474
model_02235,-38.268787,1.758601,model,0.000616
model_02236,-89.680641,25.68961,model,0.004405
Gieves & Hawkes,-92.130714,17.66036,brand,0.000616
model_02238,-27.401472,14.679793,model,0.0036
model_02239,23.139277,38.06102,model,0.0018
Christian Blanken,23.012053,38.133286,brand,0.000142
PAULE KA,-1.717003,-30.039993,brand,0.000711
Michael Sontag,33.738434,68.904884,brand,0.000189
Badgley Mischka Bride,23.96706,37.769474,brand,9.5e-05
Bobby Kolade,19.424599,28.055794,brand,4.7e-05
Rivini by Rita Vinieris,27.816822,35.317272,brand,0.000189
model_02242,-39.827385,15.879232,model,0.000521
model_02243,-44.208054,-18.16173,model,0.001042
model_02244,-79.473541,-10.538546,model,0.002795
model_02245,-71.989601,-7.227555,model,0.001279
model_02246,-38.544731,-7.038138,model,0.000237
model_02247,11.904169,44.177151,model,0.000474
model_02249,-36.441799,42.641445,model,0.000332
model_02251,10.497755,40.883446,model,4.7e-05
model_02254,-4.349394,44.13171,model,0.001374
Hexa By Kuho,-4.147608,44.084068,brand,9.5e-05
model_02256,-80.082825,-10.398168,model,0.003837
model_02257,16.922987,-55.340485,model,0.0018
model_02258,9.594082,-21.654228,model,0.0036
model_02259,-52.390793,-23.336548,model,0.000237
model_02262,7.315099,83.781097,model,0.000521
model_02263,-76.785538,26.82118,model,0.0009
model_02264,-0.227616,84.957718,model,0.005826
model_02265,8.255368,82.927132,model,0.000711
model_02266,-5.163768,34.379452,model,0.003837
Whiite,-5.017484,-69.076103,brand,0.000142
Jesus Peiro,40.315411,44.385654,brand,0.000189
Yolancris,42.348888,36.455524,brand,0.000189
Patricia Avendaño,41.061157,43.60804,brand,9.5e-05
model_02268,63.990589,47.936958,model,0.008858
8 by José Maria Torre,64.184196,48.00835,brand,4.7e-05
BaByliss,65.750008,47.223106,brand,9.5e-05
Carla Fernández,66.705193,47.432476,brand,9.5e-05
César Franco,69.242569,47.706833,brand,9.5e-05
David Salomón,74.481567,47.199245,brand,0.000142
EGR,62.868603,48.281425,brand,4.7e-05
Elena Gomez Toussaint,69.72654,46.648365,brand,0.000142
Elena Gómez Toussaint,68.483688,47.64743,brand,9.5e-05
Jesús Ibarra + Bertholdo,63.987011,47.864391,brand,9.5e-05
Jorge Duque,73.598587,46.815475,brand,0.000189
Lab Couture,70.08297,47.537018,brand,0.000142
Love is Back,69.411476,47.171505,brand,0.000142
