node,x,y,node_type,centrality
Philosophy di Lorenzo Serafini,-36.869862,-31.907928,brand,0.013926
Pucci,-12.399727,-1.283638,brand,0.010421
Rejina Pyo,-39.399281,11.480358,brand,0.002416
Richard Quinn,-48.034122,-1.356271,brand,0.012221
Roksanda,-35.505325,7.792686,brand,0.011416
Roksanda Ilincic,-24.261724,20.072645,brand,0.010516
Roland Mouret,-13.551797,6.30678,brand,0.015016
Self-Portrait,-47.1474,-49.231606,magazine,0.007011
Shiatzy Chen,-11.36582,20.407351,brand,0.016863
Supriya Lele,-48.274281,2.488994,brand,0.0036
Symonds Pearmain,-36.735928,4.525671,brand,0.000947
Tommy Hilfiger,-71.202187,-15.775711,magazine,0.031074
Valentino Couture,-34.399605,66.078133,brand,0.017147
Zimmermann,-40.120403,-18.830835,magazine,0.018521
byblos,-26.536695,5.222104,brand,0.003363
Alyx Studio,-34.446655,-19.432655,brand,0.000474
David Koma,-32.787807,7.008233,magazine,0.017858
Monse,-39.222359,28.99539,brand,0.01099
Noon By Noor,-32.667099,12.778348,brand,0.004405
Self Portrait,-47.146915,-49.233349,brand,0.005542
Vera Wang,-9.605969,6.155382,brand,0.014968
Victoria Beckham,-34.117485,-30.041265,brand,0.020463
Zadig & Voltaire,-21.838036,3.421914,magazine,0.015111
LaQuan Smith,-36.671761,39.25016,brand,0.006821
Cecilie Bahnsen,-44.217026,9.063829,brand,0.003079
EENK,-53.374073,-9.479427,brand,0.003647
Elie Saab,-47.59568,33.726322,magazine,0.029748
Gauchère,-55.152103,-4.682979,brand,0.006205
Koché,-27.24366,4.674076,brand,0.008147
Yohji Yamamoto,-46.104923,27.640539,magazine,0.013168
Giorgio Armani,-58.730198,42.208717,magazine,0.049642
model_00004,-12.05753,-13.802262,model,0.004974
Acne Studios,-43.741817,-24.595592,magazine,0.032732
Balenciaga,-35.072674,-5.953441,magazine,0.025579
David Tlale,62.929955,47.202503,brand,0.000663
Dries van Noten,-27.442753,-7.023545,brand,0.017526
Giles,-9.850575,-13.827349,magazine,0.012884
H&M,-11.557162,-22.873968,magazine,0.030979
Hermès,-61.599262,-19.921469,magazine,0.042395
J Mendel,1.323137,46.836216,brand,0.005021
Jonathan Saunders,-6.894312,13.090665,brand,0.011795
Jonathan Simkhai,-17.818392,17.241663,brand,0.008574
Lacoste,-69.359314,-11.419393,magazine,0.024347
Lanvin,-35.81731,-14.095463,magazine,0.032211
Marc by Marc Jacobs,-7.82788,7.286204,brand,0.012316
Moncler Gamme Rouge,-5.171095,28.112043,brand,0.006726
Richard Chai,-7.818747,12.96041,brand,0.00829
SUNO,-8.832664,17.023037,brand,0.005021
The Row,-26.269096,-8.368119,magazine,0.018995
Tome,-11.859953,25.643597,brand,0.005542
rag & bone,-7.962334,4.516477,brand,0.014921
André Courrèges,-53.649212,-34.979733,brand,0.008147
