brand,prestige,prestige_raw,prestige_scaled,prestige_percentile,prestige_zscore,record_count,tier
Vogue (American),0.030140,0.030140,30140.414055,100.000000,35.674945,5200,Elite
Chanel,0.015726,0.015726,15725.652017,99.981129,18.505774,6471,Elite
Dior,0.011433,0.011433,11433.109437,99.962257,13.393002,5197,Elite
Vogue Italy,0.010301,0.010301,10301.206592,99.943386,12.044812,3040,Elite
Versace,0.009738,0.009738,9738.007132,99.924514,11.373995,3388,Elite
Vogue France,0.009339,0.009339,9339.363086,99.905643,10.899177,2205,Elite
Dolce & Gabbana,0.008919,0.008919,8918.553021,99.886771,10.397957,5936,Elite
Christian Dior,0.008659,0.008659,8659.416613,99.867900,10.089305,3929,Elite
Valentino,0.008656,0.008656,8655.753592,99.849028,10.084942,4211,Elite
Louis Vuitton,0.008312,0.008312,8311.830375,99.830157,9.675301,4137,Elite
Vogue Italia,0.007927,0.007927,7927.235317,99.811285,9.217216,2676,Elite
Prada,0.007809,0.007809,7809.189531,99.792414,9.076614,3417,Elite
Fendi,0.007355,0.007355,7355.134051,99.773542,8.535796,3195,Elite
Givenchy,0.007078,0.007078,7078.372330,99.754671,8.206150,2926,Elite
Vogue UK,0.006845,0.006845,6845.258445,99.735799,7.928493,1978,Elite
Michael Kors Collection,0.006580,0.006580,6580.056136,99.716928,7.612615,1986,Elite
Marc Jacobs,0.006446,0.006446,6445.997374,99.698056,7.452940,2664,High
British Vogue,0.005848,0.005848,5848.084891,99.679185,6.740777,1891,High
Vogue Japan,0.005818,0.005818,5817.534930,99.660313,6.704389,1905,High
Gucci,0.005700,0.005700,5700.306258,99.641442,6.564760,3087,High
Lanvin,0.005700,0.005700,5700.290468,99.622570,6.564741,2163,High
Carolina Herrera,0.005555,0.005555,5555.203643,99.603699,6.391931,2117,High
Roberto Cavalli,0.005497,0.005497,5497.270341,99.584827,6.322927,1949,High
Moschino,0.005493,0.005493,5493.134212,99.565956,6.318001,2489,High
Oscar de la Renta,0.005262,0.005262,5261.550502,99.547084,6.042166,2018,High
Miu Miu,0.005209,0.005209,5208.741495,99.528213,5.979266,2479,High
Vogue China,0.005175,0.005175,5175.301838,99.509341,5.939436,1583,High
V Magazine,0.005125,0.005125,5125.085317,99.490470,5.879624,1963,High
Calvin Klein,0.005124,0.005124,5123.937431,99.471598,5.878257,2046,High
Balenciaga,0.005114,0.005114,5113.854052,99.452727,5.866247,2182,High
Balmain,0.005011,0.005011,5010.672000,99.433855,5.743349,2339,High
Jean Paul Gaultier,0.004943,0.004943,4943.199544,99.414984,5.662983,2061,High
Proenza Schouler,0.004938,0.004938,4937.691770,99.396112,5.656423,1658,High
Max Mara,0.004862,0.004862,4861.965089,99.377241,5.566227,1777,High
Saint Laurent,0.004850,0.004850,4849.761633,99.358370,5.551691,1982,High
Alexander McQueen,0.004850,0.004850,4849.611699,99.339498,5.551513,1975,High
Missoni,0.004831,0.004831,4831.434211,99.320627,5.529862,2252,High
Stella McCartney,0.004801,0.004801,4800.916431,99.301755,5.493513,1586,High
Bottega Veneta,0.004772,0.004772,4772.494202,99.282884,5.459659,2124,High
Etro,0.004731,0.004731,4731.289610,99.264012,5.410581,2109,High
Alberta Ferretti,0.004648,0.004648,4647.901313,99.245141,5.311259,1898,High
W,0.004614,0.004614,4614.003038,99.226269,5.270883,1230,High
Michael Kors,0.004514,0.004514,4513.913206,99.207398,5.151668,1293,High
W Magazine,0.004498,0.004498,4498.231428,99.188526,5.132990,1438,High
Anna Sui,0.004457,0.004457,4456.841692,99.169655,5.083691,1283,High
Hermès,0.004428,0.004428,4427.930583,99.150783,5.049256,2594,High
H&M,0.004285,0.004285,4284.520173,99.131912,4.878442,1527,High
Numéro France,0.004280,0.004280,4280.127019,99.113040,4.873209,1590,High
Ralph Lauren,0.004262,0.004262,4262.473838,99.094169,4.852183,1829,High
Isabel Marant,0.004137,0.004137,4137.234847,99.075297,4.703013,1377,High
Alexander Wang,0.004132,0.004132,4131.777077,99.056426,4.696512,1378,High
Tommy Hilfiger,0.003978,0.003978,3978.244842,99.037554,4.513643,1777,High
Burberry,0.003830,0.003830,3829.861995,99.018683,4.336907,2013,High
Vogue Russia,0.003798,0.003798,3797.700948,98.999811,4.298600,1509,High
Celine,0.003752,0.003752,3752.487201,98.980940,4.244747,1636,High
Victoria's Secret,0.003715,0.003715,3715.142427,98.962068,4.200266,1621,High
Jil Sander,0.003655,0.003655,3654.776529,98.943197,4.128365,2033,High
Sonia Rykiel,0.003654,0.003654,3654.001350,98.924325,4.127442,1442,High
Chloé,0.003644,0.003644,3644.275601,98.905454,4.115858,1325,High
Salvatore Ferragamo,0.003585,0.003585,3585.279855,98.886582,4.045589,1378,High
i-D,0.003501,0.003501,3501.359073,98.867711,3.945633,1037,High
Loewe,0.003476,0.003476,3476.060343,98.848839,3.915500,1834,High
Emilio Pucci,0.003463,0.003463,3462.554508,98.829968,3.899413,1188,High
Vogue Germany,0.003440,0.003440,3439.870175,98.811096,3.872394,1296,High
Kenzo,0.003436,0.003436,3436.339900,98.792225,3.868189,2246,High
John Galliano,0.003433,0.003433,3433.333629,98.773353,3.864609,1439,High
Elie Saab,0.003407,0.003407,3407.438839,98.754482,3.833766,1924,High
Nina Ricci,0.003402,0.003402,3401.594297,98.735610,3.826804,1508,High
Chloe,0.003258,0.003258,3258.188473,98.716739,3.655996,1092,High
Vogue Spain,0.003204,0.003204,3204.196918,98.697868,3.591688,1211,High
i-D Magazine,0.003184,0.003184,3183.804908,98.678996,3.567399,1232,High
Donna Karan,0.003080,0.003080,3080.499073,98.660125,3.444354,818,High
Narciso Rodriguez,0.003062,0.003062,3061.925578,98.641253,3.422231,971,High
D&G,0.003031,0.003031,3030.575543,98.622382,3.384891,1183,High
Jason Wu,0.003024,0.003024,3023.890637,98.603510,3.376928,1234,High
Ferragamo,0.003012,0.003012,3011.945268,98.584639,3.362700,1371,High
Marni,0.002995,0.002995,2995.421322,98.565767,3.343019,1552,High
Blumarine,0.002991,0.002991,2990.859178,98.546896,3.337585,1441,High
Viktor & Rolf,0.002986,0.002986,2986.323021,98.528024,3.332182,1117,High
Sportmax,0.002956,0.002956,2956.273149,98.509153,3.296390,1493,High
Harper's Bazaar USA,0.002922,0.002922,2922.492731,98.490281,3.256155,957,High
Altuzarra,0.002865,0.002865,2864.966030,98.471410,3.187636,1233,High
Giambattista Valli,0.002826,0.002826,2826.382420,98.452538,3.141680,1830,High
Giorgio Armani,0.002741,0.002741,2741.213796,98.433667,3.040237,3442,High
Zac Posen,0.002731,0.002731,2730.519670,98.414795,3.027499,915,High
Sacai,0.002727,0.002727,2726.627025,98.395924,3.022863,1411,High
Vera Wang,0.002723,0.002723,2723.370936,98.377052,3.018984,1116,High
Love Magazine,0.002687,0.002687,2687.316049,98.358181,2.976040,930,High
Tom Ford,0.002633,0.002633,2633.279938,98.339309,2.911679,1044,High
Elle France,0.002600,0.002600,2600.387974,98.320438,2.872502,1331,High
Tory Burch,0.002590,0.002590,2589.750251,98.301566,2.859831,1165,High
Derek Lam,0.002576,0.002576,2576.401756,98.282695,2.843932,831,High
Marc by Marc Jacobs,0.002509,0.002509,2508.994554,98.263823,2.763645,1088,High
Emanuel Ungaro,0.002500,0.002500,2499.734953,98.244952,2.752616,992,High
BOSS,0.002488,0.002488,2488.004976,98.226080,2.738644,1239,High
Vogue Korea,0.002478,0.002478,2478.212654,98.207209,2.726981,903,High
DKNY,0.002467,0.002467,2466.565969,98.188337,2.713109,1243,High
Harper's Bazaar U.S.,0.002427,0.002427,2426.582375,98.169466,2.665485,920,High
Dries van Noten,0.002424,0.002424,2424.221893,98.150594,2.662673,1142,High
Self Service,0.002378,0.002378,2377.658250,98.131723,2.607212,947,High
LOVE,0.002366,0.002366,2366.287989,98.112851,2.593669,739,High
Vogue Brazil,0.002327,0.002327,2326.653391,98.093980,2.546461,647,High
Chanel Haute Couture,0.002322,0.002322,2321.878136,98.075109,2.540773,829,High
Interview Magazine,0.002306,0.002306,2305.827791,98.056237,2.521656,891,High
Prabal Gurung,0.002225,0.002225,2225.425279,98.037366,2.425890,1238,High
Ports 1961,0.002203,0.002203,2203.186690,98.018494,2.399402,1214,High
Vogue Mexico,0.002196,0.002196,2195.632141,97.999623,2.390404,1010,High
Paco Rabanne,0.002109,0.002109,2108.734395,97.980751,2.286902,761,High
Matthew Williamson,0.002064,0.002064,2063.812633,97.961880,2.233396,902,High
Vogue Australia,0.002037,0.002037,2037.122076,97.943008,2.201605,780,High
Rabanne,0.002007,0.002007,2007.214197,97.924137,2.165983,840,High
L'Oréal Paris,0.001984,0.001984,1983.634472,97.905265,2.137897,653,High
Costume National,0.001938,0.001938,1938.302101,97.886394,2.083903,892,High
Valentino Couture,0.001925,0.001925,1924.611869,97.867522,2.067597,705,High
rag & bone,0.001922,0.001922,1921.812216,97.848651,2.064262,615,High
Lacoste,0.001907,0.001907,1906.606020,97.829779,2.046150,1207,High
Christian Dior Haute Couture,0.001880,0.001880,1880.270107,97.810908,2.014782,811,High
Rodarte,0.001859,0.001859,1859.124264,97.792036,1.989595,1026,High
Diane von Furstenberg,0.001841,0.001841,1841.391553,97.773165,1.968474,901,High
Interview,0.001835,0.001835,1835.476328,97.754293,1.961429,622,High
Rochas,0.001835,0.001835,1834.816146,97.735422,1.960642,1101,High
AnOther,0.001812,0.001812,1812.409527,97.716550,1.933954,746,High
Ann Demeulemeester,0.001807,0.001807,1807.032862,97.697679,1.927550,1336,High
Christian Lacroix,0.001761,0.001761,1761.375391,97.678807,1.873168,668,High
Zara,0.001759,0.001759,1758.678921,97.659936,1.869957,863,High
Vogue España,0.001742,0.001742,1742.224627,97.641064,1.850358,913,High
Harper's Bazaar UK,0.001739,0.001739,1738.841480,97.622193,1.846329,1008,High
Dries Van Noten,0.001705,0.001705,1705.130214,97.603321,1.806176,1275,High
Victoria Beckham,0.001700,0.001700,1699.957594,97.584450,1.800015,836,High
Ralph Lauren Collection,0.001698,0.001698,1697.930532,97.565578,1.797600,530,High
Haider Ackermann,0.001692,0.001692,1692.112960,97.546707,1.790671,814,High
Mugler,0.001681,0.001681,1680.843912,97.527835,1.777249,718,High
DSquared2,0.001677,0.001677,1676.864441,97.508964,1.772509,749,High
Tod's,0.001670,0.001670,1670.253911,97.490092,1.764635,944,High
Christopher Kane,0.001661,0.001661,1661.310040,97.471221,1.753982,1206,High
CR Fashion Book,0.001659,0.001659,1658.642832,97.452349,1.750805,755,High
Karl Lagerfeld,0.001646,0.001646,1646.176143,97.433478,1.735957,427,High
Burberry Prorsum,0.001638,0.001638,1638.065683,97.414607,1.726296,685,High
L'Oreal Paris,0.001628,0.001628,1628.166575,97.395735,1.714506,373,High
Antonio Berardi,0.001589,0.001589,1588.510736,97.376864,1.667272,815,High
Rick Owens,0.001580,0.001580,1579.954632,97.357992,1.657081,1113,High
Diesel Black Gold,0.001526,0.001526,1525.968027,97.339121,1.592779,597,High
Ermanno Scervino,0.001525,0.001525,1525.372470,97.320249,1.592069,1161,High
Hermes,0.001519,0.001519,1518.930943,97.301378,1.584397,431,High
Estée Lauder,0.001516,0.001516,1516.399978,97.282506,1.581383,276,High
Coach,0.001516,0.001516,1515.869387,97.263635,1.580751,1007,High
Jill Stuart,0.001490,0.001490,1490.460827,97.244763,1.550487,907,High
3.1 Phillip Lim,0.001489,0.001489,1489.243059,97.225892,1.549036,1246,High
BCBG Max Azria,0.001471,0.001471,1470.622566,97.207020,1.526858,660,High
Helmut Lang,0.001460,0.001460,1460.414489,97.188149,1.514699,794,High
WSJ,0.001456,0.001456,1455.714714,97.169277,1.509101,578,High
Pucci,0.001450,0.001450,1450.390169,97.150406,1.502759,442,High
Pop,0.001445,0.001445,1445.441480,97.131534,1.496865,423,High
Alessandro Dell'Acqua,0.001441,0.001441,1440.874889,97.112663,1.491426,422,High
Acne Studios,0.001438,0.001438,1438.401772,97.093791,1.488480,1167,High
VOGUE.com,0.001429,0.001429,1429.443459,97.074920,1.477810,396,High
Rag & Bone,0.001404,0.001404,1404.287615,97.056048,1.447847,535,High
Madame Figaro France,0.001392,0.001392,1392.046708,97.037177,1.433268,684,High
Giles,0.001381,0.001381,1381.053286,97.018305,1.420173,580,High
Harper's Bazaar Spain,0.001377,0.001377,1377.048581,96.999434,1.415403,606,High
Vogue Turkey,0.001376,0.001376,1376.302914,96.980562,1.414515,575,High
Elle USA,0.001376,0.001376,1376.252468,96.961691,1.414455,643,High
M Le Monde,0.001376,0.001376,1376.035315,96.942819,1.414197,540,High
Jonathan Saunders,0.001353,0.001353,1353.105253,96.923948,1.386885,659,High
Armani Prive,0.001346,0.001346,1345.566458,96.905076,1.377906,799,High
Topshop,0.001343,0.001343,1343.021596,96.886205,1.374875,695,High
Vogue Netherlands,0.001339,0.001339,1339.461722,96.867333,1.370634,633,High
Calvin Klein 205W39NYC,0.001317,0.001317,1316.958635,96.848462,1.343831,405,High
Diane Von Furstenberg,0.001304,0.001304,1303.811018,96.829590,1.328172,341,High
AnOther Magazine,0.001282,0.001282,1282.367933,96.810719,1.302631,634,High
W Korea,0.001282,0.001282,1281.616002,96.791848,1.301735,461,High
La Perla,0.001278,0.001278,1277.767100,96.772976,1.297151,424,High
Alexandre Vauthier,0.001253,0.001253,1253.371145,96.754105,1.268093,546,High
Roland Mouret,0.001252,0.001252,1251.756299,96.735233,1.266170,748,High
Hussein Chalayan,0.001249,0.001249,1248.581788,96.716362,1.262389,619,High
Brandon Maxwell,0.001234,0.001234,1233.795837,96.697490,1.244778,669,High
Francesco Scognamiglio,0.001225,0.001225,1225.473739,96.678619,1.234865,615,High
Philosophy,0.001213,0.001213,1212.619685,96.659747,1.219555,793,High
Atelier Versace,0.001208,0.001208,1207.830545,96.640876,1.213851,296,High
Jeremy Scott,0.001201,0.001201,1200.648043,96.622004,1.205296,837,High
Iceberg,0.001198,0.001198,1197.721234,96.603133,1.201810,922,High
Just Cavalli,0.001197,0.001197,1197.258759,96.584261,1.201259,751,High
Dazed Magazine,0.001193,0.001193,1192.911272,96.565390,1.196081,792,High
Document Journal,0.001177,0.001177,1176.750554,96.546518,1.176832,615,High
Preen by Thornton Bregazzi,0.001174,0.001174,1174.109168,96.527647,1.173686,717,High
Versus,0.001173,0.001173,1172.577240,96.508775,1.171861,458,High
Off-White,0.001168,0.001168,1167.964454,96.489904,1.166367,819,High
Akris,0.001158,0.001158,1158.194357,96.471032,1.154730,858,High
Pop Magazine,0.001147,0.001147,1147.078841,96.452161,1.141491,556,High
Dsquared2,0.001147,0.001147,1147.046845,96.433289,1.141452,766,High
Thakoon,0.001136,0.001136,1136.286997,96.414418,1.128637,650,High
N21,0.001127,0.001127,1127.189119,96.395546,1.117800,821,High
Maison Margiela,0.001125,0.001125,1125.016657,96.376675,1.115213,868,High
Richard Chai,0.001121,0.001121,1120.717979,96.357803,1.110093,542,High
Cacharel,0.001110,0.001110,1110.117106,96.338932,1.097466,552,High
Jean-Paul Gaultier,0.001110,0.001110,1109.512341,96.320060,1.096746,225,High
Elle Italy,0.001105,0.001105,1104.842182,96.301189,1.091183,786,High
Emporio Armani,0.001103,0.001103,1102.978133,96.282317,1.088963,2366,High
Porter,0.001101,0.001101,1101.405248,96.263446,1.087090,338,High
Peter Som,0.001100,0.001100,1100.190277,96.244574,1.085642,588,High
Erdem,0.001098,0.001098,1097.858794,96.225703,1.082865,1153,High
The Sunday Times Style,0.001095,0.001095,1094.716999,96.206831,1.079123,322,High
Chanel Beauty,0.001082,0.001082,1082.291491,96.187960,1.064323,318,High
Donna Karan New York,0.001079,0.001079,1079.089793,96.169089,1.060510,212,High
Zimmermann,0.001079,0.001079,1078.913495,96.150217,1.060300,800,High
Jacquemus,0.001072,0.001072,1071.572298,96.131346,1.051556,683,High
Yves Saint Laurent,0.001070,0.001070,1070.047108,96.112474,1.049739,440,High
Khaite,0.001065,0.001065,1065.015509,96.093603,1.043746,482,High
Elle Spain,0.001064,0.001064,1063.502522,96.074731,1.041944,757,High
Bill Blass,0.001063,0.001063,1063.376746,96.055860,1.041794,364,High
Elle China,0.001062,0.001062,1062.133631,96.036988,1.040314,354,High
Anthony Vaccarello,0.001057,0.001057,1056.566319,96.018117,1.033683,399,High
Gap,0.001054,0.001054,1053.636806,95.999245,1.030193,403,High
Schiaparelli,0.001051,0.001051,1050.959831,95.980374,1.027005,643,High
Badgley Mischka,0.001051,0.001051,1050.945872,95.961502,1.026988,753,High
La Repubblica delle Donne,0.001045,0.001045,1045.031894,95.942631,1.019944,615,High
Phi,0.001040,0.001040,1040.150105,95.923759,1.014130,252,High
Yohji Yamamoto,0.001031,0.001031,1030.804723,95.904888,1.002999,858,High
MaxMara,0.001029,0.001029,1029.489342,95.886016,1.001432,282,High
The Row,0.001010,0.001010,1010.030278,95.867145,0.978254,636,High
Vogue Portugal,0.001006,0.001006,1005.594425,95.848273,0.972971,832,High
Sophia Kokosalaki,0.001000,0.001000,1000.036222,95.829402,0.966351,330,High
Allure,0.000985,0.000985,984.698389,95.810530,0.948082,380,High
Boss by Hugo Boss,0.000985,0.000985,984.607648,95.791659,0.947974,331,High
Y-3,0.000979,0.000979,979.420491,95.772787,0.941796,610,High
Trussardi,0.000960,0.000960,960.384812,95.753916,0.919123,781,High
Gianfranco Ferre,0.000959,0.000959,958.617582,95.735044,0.917018,396,High
J. Mendel,0.000955,0.000955,955.428533,95.716173,0.913219,342,High
Belstaff,0.000953,0.000953,953.217421,95.697301,0.910586,393,High
M Le magazine du Monde,0.000910,0.000910,909.908589,95.678430,0.859001,618,High
Pringle of Scotland,0.000909,0.000909,908.823125,95.659558,0.857708,512,High
10 Magazine,0.000902,0.000902,901.618619,95.640687,0.849127,519,High
Elle Russia,0.000896,0.000896,896.380337,95.621815,0.842888,604,High
Jean Paul Gaultier Haute Couture,0.000896,0.000896,895.781763,95.602944,0.842175,344,High
Vogue Brasil,0.000893,0.000893,892.507859,95.584072,0.838276,445,High
Anna Molinari,0.000891,0.000891,891.009693,95.565201,0.836491,344,High
Magazine Antidote,0.000891,0.000891,890.559658,95.546329,0.835955,384,High
Paul & Joe,0.000890,0.000890,890.353117,95.527458,0.835709,602,High
Allure Magazine,0.000882,0.000882,881.505168,95.508587,0.825170,431,High
T: The New York Times Style Magazine,0.000879,0.000879,879.322204,95.489715,0.822570,453,High
Preen,0.000877,0.000877,877.038912,95.470844,0.819851,396,High
J.W. Anderson,0.000872,0.000872,872.380855,95.451972,0.814303,860,High
Muse,0.000869,0.000869,869.486535,95.433101,0.810855,257,Mid
Gareth Pugh,0.000860,0.000860,860.481262,95.414229,0.800129,426,Mid
Paul Smith,0.000855,0.000855,855.043273,95.395358,0.793652,943,Mid
Vogue Ukraine,0.000847,0.000847,847.416507,95.376486,0.784568,639,Mid
N° 21,0.000845,0.000845,844.668013,95.357615,0.781294,501,Mid
Alaïa,0.000842,0.000842,842.431453,95.338743,0.778630,374,Mid
Philipp Plein,0.000842,0.000842,842.033409,95.319872,0.778156,1119,Mid
The Edit,0.000841,0.000841,841.249104,95.301000,0.777222,295,Mid
Dazed,0.000836,0.000836,836.300360,95.282129,0.771328,470,Mid
Ohne Titel,0.000827,0.000827,827.114059,95.263257,0.760386,426,Mid
Anteprima,0.000820,0.000820,820.148916,95.244386,0.752090,671,Mid
Elle U.S.,0.000816,0.000816,816.443143,95.225514,0.747676,473,Mid
Givenchy Haute Couture,0.000815,0.000815,814.968626,95.206643,0.745920,195,Mid
Simone Rocha,0.000804,0.000804,804.059905,95.187771,0.732927,775,Mid
Elle UK,0.000799,0.000799,799.278496,95.168900,0.727232,713,Mid
Marchesa,0.000799,0.000799,798.704692,95.150028,0.726548,626,Mid
Lagerfeld Gallery,0.000797,0.000797,797.036096,95.131157,0.724561,228,Mid
Antidote,0.000797,0.000797,796.900675,95.112285,0.724399,245,Mid
Guy Laroche,0.000795,0.000795,794.799318,95.093414,0.721897,618,Mid
Philosophy di Lorenzo Serafini,0.000786,0.000786,785.553017,95.074542,0.710883,452,Mid
Redemption,0.000785,0.000785,784.973317,95.055671,0.710193,427,Mid
Purple Magazine,0.000784,0.000784,783.950737,95.036799,0.708975,421,Mid
T - The New York Times Style - USA,0.000783,0.000783,782.762914,95.017928,0.707560,249,Mid
Tiffany & Co.,0.000781,0.000781,781.464459,94.999056,0.706014,223,Mid
Harper's Bazaar Australia,0.000781,0.000781,780.517995,94.980185,0.704886,447,Mid
Luella Bartley,0.000777,0.000777,777.438613,94.961313,0.701219,256,Mid
Longchamp,0.000761,0.000761,760.576471,94.942442,0.681134,265,Mid
COS,0.000760,0.000760,760.347802,94.923570,0.680862,453,Mid
Elie Saab Couture,0.000759,0.000759,759.105566,94.904699,0.679382,396,Mid
Harper's Bazaar China,0.000759,0.000759,758.918395,94.885828,0.679159,597,Mid
Harper's Bazaar Korea,0.000758,0.000758,758.395440,94.866956,0.678537,317,Mid
Barbara Bui,0.000758,0.000758,757.639702,94.848085,0.677636,485,Mid
Carlos Miele,0.000755,0.000755,755.476223,94.829213,0.675060,314,Mid
Gianfranco Ferré,0.000755,0.000755,755.200726,94.810342,0.674731,248,Mid
Hakaan,0.000748,0.000748,748.212915,94.791470,0.666408,176,Mid
Mango,0.000745,0.000745,744.616457,94.772599,0.662125,333,Mid
Mary Katrantzou,0.000740,0.000740,739.744881,94.753727,0.656322,614,Mid
Luca Luca,0.000738,0.000738,738.232704,94.734856,0.654521,324,Mid
Byblos,0.000719,0.000719,718.907478,94.715984,0.631503,492,Mid
Etam,0.000718,0.000718,717.531411,94.697113,0.629864,502,Mid
Publications,0.000711,0.000711,711.133386,94.678241,0.622244,843,Mid
Versace Jeans,0.000700,0.000700,699.850960,94.659370,0.608805,300,Mid
Elle Brazil,0.000698,0.000698,697.597282,94.640498,0.606121,288,Mid
Vogue Greece,0.000696,0.000696,695.830833,94.621627,0.604017,348,Mid
Vivienne Westwood,0.000696,0.000696,695.503597,94.602755,0.603627,1027,Mid
The Last Magazine,0.000695,0.000695,694.561966,94.583884,0.602506,223,Mid
Vogue Hong Kong,0.000693,0.000693,693.472442,94.565012,0.601208,348,Mid
Numéro Tokyo,0.000693,0.000693,692.715559,94.546141,0.600306,260,Mid
Maison Martin Margiela,0.000692,0.000692,692.476417,94.527269,0.600022,562,Mid
Porter Magazine,0.000686,0.000686,685.777744,94.508398,0.592043,230,Mid
Massimo Dutti,0.000684,0.000684,683.987896,94.489526,0.589911,418,Mid
Vionnet,0.000677,0.000677,676.513236,94.470655,0.581008,445,Mid
Julien Macdonald,0.000673,0.000673,673.391155,94.451783,0.577289,600,Mid
Aquilano.Rimondi,0.000670,0.000670,669.911078,94.432912,0.573144,532,Mid
Giles Deacon,0.000664,0.000664,664.426351,94.414040,0.566612,263,Mid
Harper's Bazaar Germany,0.000658,0.000658,658.126493,94.395169,0.559108,369,Mid
Vogue Thailand,0.000654,0.000654,653.555398,94.376297,0.553663,364,Mid
Vogue Taiwan,0.000645,0.000645,645.417863,94.357426,0.543971,416,Mid
Behnaz Sarafpour,0.000645,0.000645,644.858629,94.338554,0.543305,263,Mid
Tibi,0.000644,0.000644,644.057408,94.319683,0.542351,686,Mid
Nicole Farhi,0.000641,0.000641,641.346985,94.300811,0.539122,440,Mid
Pirelli Calendar,0.000641,0.000641,640.895223,94.281940,0.538584,150,Mid
French Revue De Modes,0.000641,0.000641,640.657390,94.263069,0.538301,391,Mid
YSL Rive Gauche,0.000640,0.000640,640.083189,94.244197,0.537617,208,Mid
Courrèges,0.000639,0.000639,638.672346,94.225326,0.535936,440,Mid
Purple Fashion,0.000627,0.000627,626.544442,94.206454,0.521491,281,Mid
Carven,0.000625,0.000625,625.224288,94.187583,0.519919,630,Mid
Aquascutum,0.000623,0.000623,623.417406,94.168711,0.517767,330,Mid
Harper's Bazaar Singapore,0.000618,0.000618,618.469272,94.149840,0.511873,401,Mid
Moncler,0.000616,0.000616,616.299792,94.130968,0.509289,700,Mid
Harper's Bazaar Russia,0.000614,0.000614,613.972960,94.112097,0.506517,281,Mid
Dazed & Confused,0.000614,0.000614,613.904640,94.093225,0.506436,287,Mid
AMI,0.000614,0.000614,613.637049,94.074354,0.506117,502,Mid
Vanessa Bruno,0.000612,0.000612,612.198060,94.055482,0.504403,341,Mid
J Mendel,0.000610,0.000610,610.100818,94.036611,0.501905,215,Mid
Zadig & Voltaire,0.000607,0.000607,607.315308,94.017739,0.498588,461,Mid
Guerlain,0.000605,0.000605,605.110603,93.998868,0.495962,109,Mid
Russh,0.000603,0.000603,602.836577,93.979996,0.493253,429,Mid
Sies Marjan,0.000600,0.000600,599.680969,93.961125,0.489495,383,Mid
Richard Nicoll,0.000599,0.000599,598.785265,93.942253,0.488428,403,Mid
Rue du Mail,0.000598,0.000598,597.837345,93.923382,0.487299,174,Mid
Nicole Miller,0.000598,0.000598,597.778113,93.904510,0.487228,601,Mid
Gabriela Hearst,0.000597,0.000597,596.533535,93.885639,0.485746,516,Mid
Vogue Arabia,0.000593,0.000593,593.476115,93.866767,0.482104,482,Mid
InStyle USA,0.000584,0.000584,584.262686,93.847896,0.471130,175,Mid
Kenneth Cole,0.000584,0.000584,584.200969,93.829024,0.471057,253,Mid
Reed Krakoff,0.000584,0.000584,583.584517,93.810153,0.470322,268,Mid
Chado Ralph Rucci,0.000579,0.000579,579.431173,93.791281,0.465375,490,Mid
Vogue Czechoslovakia,0.000577,0.000577,577.205700,93.772410,0.462725,374,Mid
S Moda,0.000577,0.000577,576.782746,93.753538,0.462221,196,Mid
D Repubblica,0.000573,0.000573,572.915475,93.734667,0.457615,386,Mid
Bulgari,0.000571,0.000571,571.478740,93.715795,0.455903,234,Mid
Coperni,0.000570,0.000570,569.938217,93.696924,0.454068,285,Mid
Alexis Mabille,0.000568,0.000568,568.041050,93.678052,0.451809,584,Mid
Marie Claire France,0.000566,0.000566,565.735647,93.659181,0.449063,442,Mid
Lancome,0.000563,0.000563,562.576355,93.640309,0.445300,107,Mid
Dior Beauty,0.000560,0.000560,560.158048,93.621438,0.442419,203,Mid
Peter Pilotto,0.000559,0.000559,559.395820,93.602567,0.441512,577,Mid
Giambattista Valli Haute Couture,0.000559,0.000559,559.077869,93.583695,0.441133,304,Mid
Escada,0.000559,0.000559,559.034303,93.564824,0.441081,237,Mid
Tuleh,0.000550,0.000550,550.101460,93.545952,0.430441,428,Mid
Marie Claire China,0.000547,0.000547,546.579346,93.527081,0.426246,222,Mid
Elle Germany,0.000546,0.000546,546.333484,93.508209,0.425953,374,Mid
Fendi Couture,0.000544,0.000544,544.074150,93.489338,0.423262,173,Mid
Vogue Latin America,0.000542,0.000542,542.381010,93.470466,0.421246,220,Mid
Isaac Mizrahi,0.000540,0.000540,539.674166,93.451595,0.418021,208,Mid
Antonio Marras,0.000538,0.000538,538.147610,93.432723,0.416203,882,Mid
Wunderkind,0.000538,0.000538,537.962516,93.413852,0.415983,340,Mid
Animale,0.000536,0.000536,536.265239,93.394980,0.413961,218,Mid
Moschino Cheap & Chic,0.000536,0.000536,535.841586,93.376109,0.413457,336,Mid
Harper's Bazaar España,0.000531,0.000531,530.896397,93.357237,0.407566,319,Mid
Max Azria,0.000523,0.000523,522.929582,93.338366,0.398077,211,Mid
MSGM,0.000507,0.000507,506.730072,93.319494,0.378782,904,Mid
Daks,0.000505,0.000505,505.064350,93.300623,0.376798,424,Mid
Chalayan,0.000503,0.000503,503.246998,93.281751,0.374634,404,Mid
Alexandre Herchcovitch,0.000503,0.000503,502.959631,93.262880,0.374291,530,Mid
Express,0.000501,0.000501,500.901712,93.244008,0.371840,171,Mid
Martine Sitbon,0.000497,0.000497,497.130058,93.225137,0.367348,201,Mid
Swarovski,0.000496,0.000496,496.247453,93.206265,0.366297,189,Mid
The Sunday Times Style Magazine UK,0.000496,0.000496,495.757732,93.187394,0.365713,232,Mid
