year,n_white,n_plus_white,pct_plus_white,n_nonwhite,n_plus_nonwhite,pct_plus_nonwhite,risk_ratio,rr_ci_lower,rr_ci_upper,odds_ratio,or_ci_lower,or_ci_upper,z_statistic,p_value
2010,20058,15,0.07478312892611427,3138,4,0.12746972594008923,1.704525175270873,0.5660770696746142,5.1325274044438,1.8564621614807115,0.6495066074660492,5.306261271852862,0.9593378310893294,0.3373885829745915
2011,26577,20,0.07525303834142304,4220,5,0.11848341232227488,1.57446682464455,0.5912330792159477,4.192840132006309,1.6902343557891752,0.6590873984500061,4.33461811621445,0.9160191153590828,0.35965686908305916
2012,34115,33,0.09673164297229958,5494,0,0.0,0.0,0.0,inf,0.09258240601524184,0.005671685141759985,1.51127957376549,-2.3062670807256325,0.021095713364063358
2013,28883,26,0.09001834989440155,4735,1,0.021119324181626188,0.23461132320688816,0.03184339311594192,1.728536678753959,0.3450086379187697,0.06657173226989722,1.7880105591362057,-1.5512679161395522,0.12083749223012208
2014,30148,39,0.12936181504577418,5152,3,0.05822981366459627,0.45013139034878163,0.13915490292612404,1.4560627352447313,0.518095034420203,0.17358451723938284,1.5463502676376464,-1.3687246208940917,0.1710853711164828
2015,30948,29,0.09370557063461289,5887,7,0.11890606420927466,1.268932715568494,0.5561354535352678,2.8953202433045764,1.3367723544781014,0.5994464808489851,2.9810172964333486,0.5671963626473889,0.5705807790102218
2016,28299,29,0.10247711933283861,7057,7,0.09919229134193,0.967945742305268,0.424196989432307,2.2086883768334924,1.019419226187829,0.4571639543999126,2.273179126918478,-0.07740663723151321,0.9383000608799675
2017,23827,28,0.11751374491123516,7983,24,0.3006388575723412,2.558329306920062,1.4839719568232905,4.410493616508051,2.5704151389214918,1.497022128981054,4.413451116379862,3.505251973365607,0.0004561753231404956
2018,22774,33,0.14490208132080443,9841,27,0.2743623615486231,1.8934328551237403,1.1391952254682804,3.147035641225008,1.9021239515398705,1.1480509480021421,3.15149387169436,2.504378883361603,0.012266659559829389
2019,25932,35,0.1349683788369582,13205,41,0.3104884513441878,2.3004532915021367,1.4659895049190248,3.6099067071256608,2.2997107564678587,1.4684458357333525,3.6015421438903603,3.72931690761287,0.00019199955706540966
2020,17895,37,0.20676166526962836,9889,76,0.768530690666397,3.7169882998581554,2.5112407917562267,5.501663586636887,3.7123696948081726,2.5097373033750996,5.491287367963365,7.044425258324658,1.862285768204795e-12
2021,11237,39,0.3470677227017887,7355,175,2.379333786539769,6.8555317331659955,4.851255100140121,9.687867237302873,6.929233446068334,4.900344649576432,9.798142698853272,12.702936850999134,5.695165212365629e-37
2022,14114,61,0.4321949837041236,10680,201,1.8820224719101122,4.354568060416282,3.2733621570647373,5.792901024371012,4.393836281986085,3.2987698603015714,5.852423203336887,11.055622147459285,2.059042503944351e-28
2023,14279,54,0.37817774353946354,11047,141,1.2763646238797863,3.375038974885087,2.46878463214501,4.6139658898056135,3.3864297740132243,2.4751785512248854,4.633163376697879,8.109589877940476,5.07908995446927e-16
2024,12110,42,0.3468208092485549,9338,133,1.424287856071964,4.106696651674163,2.905932867639127,5.803629387547901,4.118112892867755,2.9128325120920087,5.822117724930127,8.696870615580007,3.4116205894433752e-18
