year,series,proportion,ci_lower,ci_upper,n
2010,nonwhite_share,13.528194516295914,13.105600103466115,14.006833074668048,23196
2010,plussize_all,0.08191067425418175,0.047421969305052596,0.11639937920331091,23196
2010,plussize_white,0.07478312892611427,0.03988433542726094,0.11466746435337521,20058
2010,plussize_nonwhite,0.12746972594008923,0.0,0.25493945188017847,3138
2011,nonwhite_share,13.702633373380523,13.299915576192484,14.076127544890737,30797
2011,plussize_all,0.08117673799396045,0.051953112316134684,0.11364743319154462,30797
2011,plussize_white,0.07525303834142304,0.04515182300485382,0.1091169055950634,26577
2011,plussize_nonwhite,0.11848341232227488,0.023696682464454978,0.23696682464454977,4220
2012,nonwhite_share,13.870584968062813,13.52464086445,14.21652907167563,39609
2012,plussize_all,0.0833143982428236,0.0555429321618824,0.11361054305839581,39609
2012,plussize_white,0.09673164297229958,0.06155650007328155,0.12904880551077233,34115
2012,plussize_nonwhite,0.0,0.0,0.0,5494
2013,nonwhite_share,14.084716520911417,13.739440180855492,14.46858825629127,33618
2013,plussize_all,0.08031411743708727,0.053542744958058185,0.11006008685823072,33618
2013,plussize_white,0.09001834989440155,0.055395907627324034,0.1315652806148946,28883
2013,plussize_nonwhite,0.021119324181626188,0.0,0.06335797254487857,4735
2014,nonwhite_share,14.594900849858359,14.226416430594899,14.966076487252124,35300
2014,plussize_all,0.11898016997167139,0.08498583569405099,0.1529745042492918,35300
2014,plussize_white,0.12936181504577418,0.08955817964707442,0.17248242006103223,30148
2014,plussize_nonwhite,0.05822981366459627,0.0,0.1358695652173913,5152
2015,nonwhite_share,15.982082258721325,15.620944753631056,16.364938238088772,36835
2015,plussize_all,0.09773313424731912,0.06515542283154609,0.13302565494773994,36835
2015,plussize_white,0.09370557063461289,0.06139330489853948,0.12924906294429364,30948
2015,plussize_nonwhite,0.11890606420927466,0.05095974180397486,0.20383896721589945,5887
2016,nonwhite_share,19.959837085643173,19.541096277859488,20.35870856431723,35356
2016,plussize_all,0.10182147301730966,0.0707093562620206,0.13576196402307952,35356
2016,plussize_white,0.10247711933283861,0.06714018163185978,0.1379023993780698,28299
2016,plussize_nonwhite,0.09919229134193,0.028340654669122858,0.18421425534929858,7057
2017,nonwhite_share,25.095881798176674,24.624331971078277,25.596038981452374,31810
2017,plussize_all,0.1634706067274442,0.12252436340773341,0.20748192392329454,31810
2017,plussize_white,0.11751374491123516,0.07554455030007974,0.15948293952239057,23827
2017,plussize_nonwhite,0.3006388575723412,0.18789928598271327,0.42590504822748343,7983
2018,nonwhite_share,30.173233174919517,29.65805610915223,30.694542388471564,32615
2018,plussize_all,0.1839644335428484,0.14096274720220758,0.23003219377586995,32615
2018,plussize_white,0.14490208132080443,0.09660138754720296,0.19320277509440592,22774
2018,plussize_nonwhite,0.2743623615486231,0.17274667208617012,0.38613961995732143,9841
2019,nonwhite_share,33.74045021335309,33.26762398753098,34.182678795002175,39137
2019,plussize_all,0.19418964151570126,0.15330761172292204,0.23762679817052917,39137
2019,plussize_white,0.1349683788369582,0.08869350609285824,0.18124325158105814,25932
2019,plussize_nonwhite,0.3104884513441878,0.21961378265808407,0.40155244225672077,13205
2020,nonwhite_share,35.592427296285635,34.95519003743161,36.19007342355312,27784
2020,plussize_all,0.4067088972070256,0.33472502159516265,0.48589116038007485,27784
2020,plussize_white,0.20676166526962836,0.1452919810002794,0.27954735959765287,17895
2020,plussize_nonwhite,0.768530690666397,0.6168470017190818,0.9404388714733543,9889
2021,nonwhite_share,39.56002581755594,38.87128872633391,40.18502581755593,18592
2021,plussize_all,1.1510327022375215,1.0004302925989674,1.307013769363167,18592
2021,plussize_white,0.3470677227017887,0.24027765417816144,0.46275696360238494,11237
2021,plussize_nonwhite,2.379333786539769,2.053025152957172,2.733174711080897,7355
2022,nonwhite_share,43.07493748487538,42.40511817375172,43.66439461159958,24794
2022,plussize_all,1.056707267887392,0.927643784786642,1.1817375171412439,24794
2022,plussize_white,0.4321949837041236,0.32591752869491286,0.545557602380615,14114
2022,plussize_nonwhite,1.8820224719101122,1.6385767790262171,2.144194756554307,10680
2023,nonwhite_share,43.61920555950407,43.011036089394295,44.17989417989418,25326
2023,plussize_all,0.7699597251836058,0.6633499170812603,0.8805180446971492,25326
2023,plussize_white,0.37817774353946354,0.273128370334057,0.48322711674487007,14279
2023,plussize_nonwhite,1.2763646238797863,1.0681633022540056,1.4938444826649766,11047
2024,nonwhite_share,43.5378590078329,42.889779932860876,44.23722491607609,21448
2024,plussize_all,0.8159268929503918,0.7040283476314807,0.9418127564341664,21448
2024,plussize_white,0.3468208092485549,0.2477291494632535,0.45417010734929814,12110
2024,plussize_nonwhite,1.424287856071964,1.1991325765688585,1.6601520668237308,9338
