gender,measurement,event_type,label,trend,significant,p_value,z_score,tau,sen_slope,sen_intercept,slope_ci_lower,slope_ci_upper,time_span_years,total_change,relative_change_percent,year_start,year_end,n_observations
female,height_cm,fashion_shows,Height_Cm - Fashion Shows (female),no trend,False,0.498219385345291,-0.677294081420525,-0.1,-0.0028306080063902053,1.9097602003713838,-0.01750448740130771,0.014064521828454005,24,-0.06793459215336492,-3.5945256718741008,2000,2024,25
female,height_cm,advertisements,Height_Cm - Advertisements (female),increasing,True,0.00016981157303574967,3.7601499003001564,0.54,0.02436205474177064,2.201710201102674,0.014069426627619045,0.034137444069819466,24,0.5846893138024953,24.104203695308087,2000,2024,25
female,height_cm,magazine_covers,Height_Cm - Magazine Covers (female),no trend,False,0.5593049468922573,-0.5838742081211423,-0.08666666666666667,-0.0029675177594473516,2.7826731964602724,-0.013007671939457092,0.008547587814796401,24,-0.07122042622673644,-2.5842627717174413,2000,2024,25
female,height_cm,editorials,Height_Cm - Editorials (female),increasing,True,0.004070304881397702,2.87266110395602,0.41333333333333333,0.01642977011612473,2.1519334773781877,0.006682709329927709,0.02737707695052897,24,0.39431448278699355,16.694681020568208,2000,2024,25
female,bust-eu_clean,fashion_shows,Bust Eu - Fashion Shows (female),increasing,True,6.537972045972396e-07,4.974608253192132,0.7133333333333334,0.06807753458268359,2.1501489932345508,0.041398580507605,0.08680048263633033,24,1.6338608299844062,60.439498884157004,2000,2024,25
female,bust-eu_clean,advertisements,Bust Eu - Advertisements (female),increasing,True,2.4644131180195927e-10,6.329196416033183,0.9066666666666666,0.1310735918889946,1.8277936824607122,0.11742603819162634,0.14225386951603475,24,3.14576620533587,93.8946360015096,2000,2024,25
female,bust-eu_clean,magazine_covers,Bust Eu - Magazine Covers (female),increasing,True,7.21895876409917e-11,6.516036162631948,0.9333333333333333,0.10608626500773989,2.1802906421363493,0.0920200849551286,0.11731152550825964,24,2.5460703601857575,76.85801691037032,2000,2024,25
female,bust-eu_clean,editorials,Bust Eu - Editorials (female),increasing,True,8.130602857647773e-10,6.142356669434417,0.88,0.12121488703130318,1.8632564419197934,0.10230234645295413,0.1366743855513318,24,2.909157288751276,94.38225990037797,2000,2024,25
female,waist-eu_clean,fashion_shows,Waist Eu - Fashion Shows (female),increasing,True,0.01833157496099891,2.358851800809415,0.34,0.03115261063239605,1.7490482966429113,0.0058086075700843525,0.07380680165189762,24,0.7476626551775052,39.272626124349635,2000,2024,25
female,waist-eu_clean,advertisements,Waist Eu - Advertisements (female),increasing,True,1.1480609685143861e-07,5.301577809739972,0.76,0.10028990677323926,1.864365336353015,0.0780128723540396,0.12861742444257673,24,2.4069577625577425,81.90787783479546,2000,2024,25
female,waist-eu_clean,magazine_covers,Waist Eu - Magazine Covers (female),increasing,True,2.3799078485708947e-08,5.58183742963812,0.8,0.06375931444150923,2.052429287062383,0.051397797130684264,0.08173919729191984,24,1.5302235465962215,58.51920061739104,2000,2024,25
female,waist-eu_clean,editorials,Waist Eu - Editorials (female),increasing,True,2.3656555304452098e-05,4.22724926679707,0.6066666666666667,0.06258386361433785,2.1260127470861523,0.03742963953164589,0.09478743904429687,24,1.5020127267441084,54.5818984229217,2000,2024,25
female,hips-eu_clean,fashion_shows,Hips Eu - Fashion Shows (female),increasing,True,0.00042093182771774096,3.5266002170516995,0.5066666666666667,0.04784779536048186,1.5255306874181487,0.028041156031478068,0.07796817242378166,24,1.1483470886515645,56.398608825615746,2000,2024,25
female,hips-eu_clean,advertisements,Hips Eu - Advertisements (female),increasing,True,1.481307767559059e-07,5.254867873090281,0.7533333333333333,0.12278686669525445,1.3720178842278787,0.09697464754973868,0.165844790032738,24,2.9468848006861066,108.6304646262689,2000,2024,25
female,hips-eu_clean,magazine_covers,Hips Eu - Magazine Covers (female),increasing,True,1.9072455659241427e-07,5.208157936440589,0.7466666666666667,0.07561996951329383,1.903593934188969,0.05615685495135235,0.091244955945766,24,1.814879268319052,71.19465808181849,2000,2024,25
female,hips-eu_clean,editorials,Hips Eu - Editorials (female),increasing,True,5.131806497526981e-07,5.021318189841824,0.72,0.0907716204197444,1.5951548943270073,0.06624932001656858,0.11062504334985472,24,2.1785188900738657,84.37050816166095,2000,2024,25
female,rfm,fashion_shows,Rfm - Fashion Shows (female),increasing,True,0.03765485026971738,2.0785921809112664,0.3,0.018519913176161175,1.7725472570860645,0.000921698948715563,0.052546645950312255,24,0.4444779162278682,23.466222961207077,2000,2024,25
female,rfm,advertisements,Rfm - Advertisements (female),increasing,True,3.567683545258049e-05,4.133829393497687,0.5933333333333334,0.05643717538161722,1.9261229161762548,0.03245058058558387,0.07749373395702358,24,1.3544922091588134,53.152429733267134,2000,2024,25
female,rfm,magazine_covers,Rfm - Magazine Covers (female),increasing,True,1.1480609685143861e-07,5.301577809739972,0.76,0.04500047032282016,2.0077200121968226,0.03384079936625435,0.06019688066488326,24,1.0800112877476837,45.53762411386293,2000,2024,25
female,rfm,editorials,Rfm - Editorials (female),increasing,True,0.014195743882660095,2.4522716741087978,0.35333333333333333,0.03285957088538233,2.0849634860451127,0.007214752091473681,0.05679719712773386,24,0.7886297012491759,32.5232261026847,2000,2024,25
