event,measurement,year,mean,std,n
fashion_shows,height_cm,2024,178.225490,2.091548,1071
fashion_shows,height_cm,2002,177.637197,1.923289,5237
fashion_shows,height_cm,2003,177.932725,1.938982,6243
fashion_shows,height_cm,2004,178.017949,2.122927,7354
fashion_shows,height_cm,2005,178.092371,2.138039,8704
fashion_shows,height_cm,2006,177.891617,2.112105,9877
fashion_shows,height_cm,2015,178.646730,1.679184,11085
fashion_shows,height_cm,2014,178.577822,1.590136,10871
fashion_shows,height_cm,2012,178.405707,1.540313,21571
fashion_shows,height_cm,1999,177.763158,2.161815,1653
fashion_shows,height_cm,2001,177.613764,2.160224,5151
fashion_shows,height_cm,2000,177.747302,2.027718,4448
fashion_shows,height_cm,2007,177.984008,1.889946,11068
fashion_shows,height_cm,2008,178.200583,1.850320,11150
fashion_shows,height_cm,2009,178.401907,1.683596,12427
fashion_shows,height_cm,2010,178.225255,1.825621,14619
fashion_shows,height_cm,2019,178.214117,1.845144,10980
fashion_shows,height_cm,2023,178.125508,2.094655,2952
fashion_shows,height_cm,2022,177.978405,2.092465,4515
fashion_shows,height_cm,2011,178.380737,1.620434,17583
fashion_shows,height_cm,2020,178.142755,1.898044,9096
fashion_shows,height_cm,2016,178.620558,1.711728,7963
fashion_shows,height_cm,2013,178.551679,1.534965,10333
fashion_shows,height_cm,2021,177.947503,2.054871,981
fashion_shows,height_cm,2018,178.159741,1.836117,3634
fashion_shows,height_cm,2017,178.504220,1.706012,5213
fashion_shows,height_cm,1994,177.212724,2.171776,503
fashion_shows,height_cm,1995,178.115254,2.364732,590
fashion_shows,height_cm,1997,177.577882,2.293808,2767
fashion_shows,height_cm,1998,177.509955,2.190880,2863
fashion_shows,height_cm,1996,177.528694,2.405820,697
fashion_shows,height_cm,1991,177.405836,1.879627,377
fashion_shows,height_cm,1992,177.503976,1.706556,503
fashion_shows,height_cm,1993,177.633333,1.825859,705
fashion_shows,height_cm,1987,175.957447,1.421228,47
fashion_shows,height_cm,1988,176.286585,1.683307,82
fashion_shows,height_cm,1990,177.179293,2.046893,198
fashion_shows,height_cm,1984,178.000000,2.645751,3
fashion_shows,height_cm,1981,180.000000,0.000000,1
fashion_shows,height_cm,1985,176.000000,1.511858,8
