event_type,age,count
Shows,40.0,228
Shows,41.0,205
Shows,42.0,183
Shows,43.0,162
Shows,44.0,201
Shows,45.0,131
Shows,46.0,101
Shows,47.0,92
Shows,48.0,78
Shows,49.0,61
Shows,50.0,54
Shows,51.0,45
Shows,52.0,48
Shows,53.0,28
Shows,54.0,23
Shows,55.0,24
Shows,56.0,16
Shows,57.0,10
Shows,58.0,8
Shows,59.0,3
Shows,60.0,1
Shows,62.0,1
Shows,63.0,1
Shows,65.0,3
