pc1,pc2
0.000498,1.913232
0.542175,0.554255
-1.151539,-0.000699
-0.962578,-0.744469
-0.710303,1.234104
0.636643,-0.599793
0.807182,0.127482
0.570112,-1.521143
-0.319145,0.189367
-0.334396,-0.372162
-0.559643,-0.267152
-0.391860,0.098861
0.052062,-0.100980
-1.177532,0.397518
0.219845,0.265033
1.888802,-0.304402
0.394342,-0.566148
0.241668,0.816384
-0.265710,-0.519104
-0.904468,0.445643
-0.486398,-0.542997
-1.209003,0.470324
-0.279526,1.054620
-0.243409,0.457961
0.098253,0.754095
-0.954829,0.540136
-0.222063,0.583598
-0.937423,0.033373
-1.270587,0.240736
-0.367563,0.996093
-1.102803,0.606749
-0.422270,-0.561036
-1.055799,-1.278560
-0.499183,0.265001
-2.487141,-2.475820
0.124776,-0.010473
-1.076421,1.029197
0.999093,0.155306
-1.835959,-0.257378
0.394342,-0.566148
1.055525,0.450010
2.094720,0.441789
2.401410,-0.651184
-0.243745,-1.154769
-0.462419,-1.059938
2.714481,1.082859
0.656664,0.441723
0.641749,-0.896490
-0.254127,0.592618
1.510164,0.115513
0.537616,0.683157
-2.324058,-0.793888
-0.496639,0.017374
-0.043148,0.810530
-0.365337,-0.665707
-0.569742,-0.893798
-0.386295,0.029320
-0.617107,0.203870
1.149463,-0.337686
0.147130,0.174527
-1.947310,-0.328687
0.133868,0.556811
-0.020512,-1.378502
0.599225,0.087657
0.348151,-1.421222
0.902611,-1.198784
1.156035,-0.347864
0.466915,0.711375
0.217590,-0.495604
-0.197695,0.887322
0.685590,0.616544
0.166409,0.973505
1.105285,-1.074036
0.244213,0.568757
-0.261682,-0.281655
-1.690140,0.744300
-0.636917,-0.228756
0.906279,0.640437
-0.511438,0.706647
0.462357,0.840278
0.241668,0.816384
-0.826665,0.040896
0.144586,0.422154
-0.060297,-0.231651
0.453601,-0.503689
0.241668,0.816384
0.325514,0.767810
-0.617107,0.203870
0.195619,-1.225706
-1.104959,1.675041
-1.318650,-1.920079
-0.350227,1.082838
-1.594930,-0.167210
0.756291,0.588326
1.052238,0.455100
-1.005721,1.000980
-0.729582,0.435126
0.241668,0.816384
0.551072,0.711206
-0.334396,-0.372162
-0.756494,0.379029
-0.268254,-0.271477
-1.964265,1.428878
1.789033,0.736011
0.047503,0.027923
2.343133,2.560222
-0.486929,-0.176646
1.973029,-0.898079
0.348151,-1.421222
-0.000703,1.443537
-1.489261,0.335567
-0.976918,0.171960
0.246227,0.687482
-0.388891,-3.709814
0.889155,-1.226832
-0.718890,1.125558
-0.901924,0.198016
-2.447805,0.763465
-0.707476,-1.387555
-1.276152,0.310276
2.683541,0.789313
0.685732,-0.570472
-1.143984,0.873574
-0.146662,-0.760538
