event_type,year,mean,q05,q95,n
Magazine Covers,1972,27.5,23.9,29.0,4
Magazine Covers,1973,27.0,21.0,30.0,6
Magazine Covers,1974,26.833333333333332,18.4,31.0,12
Magazine Covers,1975,25.666666666666668,20.2,32.0,9
Magazine Covers,1976,23.9,20.0,30.299999999999994,10
Magazine Covers,1977,24.75,21.6,27.549999999999997,4
Magazine Covers,1978,23.083333333333332,18.0,29.0,12
Magazine Covers,1979,20.608695652173914,19.0,26.0,23
Magazine Covers,1980,21.08695652173913,20.0,27.0,23
Magazine Covers,1981,22.526315789473685,19.6,29.299999999999994,19
Magazine Covers,1982,22.575757575757574,17.0,30.0,33
Magazine Covers,1983,21.48,16.9,31.0,50
Magazine Covers,1984,21.90740740740741,17.0,32.0,54
Magazine Covers,1985,21.321428571428573,18.0,26.25,56
Magazine Covers,1986,21.010309278350515,15.0,31.0,97
Magazine Covers,1987,21.272727272727273,17.0,27.0,154
Magazine Covers,1988,21.89171974522293,17.8,25.0,157
Magazine Covers,1989,22.518716577540108,18.0,29.0,187
Magazine Covers,1990,22.269430051813472,17.0,26.0,193
Magazine Covers,1991,22.75,16.0,27.0,236
Magazine Covers,1992,22.768996960486323,17.400000000000002,27.599999999999966,329
Magazine Covers,1993,22.95798319327731,18.0,28.0,357
Magazine Covers,1994,23.130081300813007,17.0,29.0,369
Magazine Covers,1995,23.860759493670887,18.0,30.0,395
Magazine Covers,1996,23.747993579454253,18.0,31.0,623
Magazine Covers,1997,23.569486404833835,18.0,31.0,662
Magazine Covers,1998,23.515479876160992,17.0,32.0,646
Magazine Covers,1999,23.653508771929825,17.0,33.85000000000002,684
Magazine Covers,2000,23.637952559300874,17.0,34.0,801
Magazine Covers,2001,23.375,17.0,32.0,872
Magazine Covers,2002,24.466304347826085,18.0,34.0,920
Magazine Covers,2003,24.300875273522976,17.650000000000006,34.0,914
Magazine Covers,2004,24.07136563876652,17.0,34.0,1135
Magazine Covers,2005,24.271293375394322,17.0,35.649999999999864,1268
Magazine Covers,2006,24.16324981017464,16.0,36.0,1317
Magazine Covers,2007,24.399583043780403,17.0,38.0,1439
Magazine Covers,2008,25.14277555682467,17.0,38.0,1751
Magazine Covers,2009,25.42126179831098,18.0,39.0,2013
Magazine Covers,2010,26.062852538275585,18.0,40.0,2482
Magazine Covers,2011,25.86784140969163,18.0,40.0,3178
Magazine Covers,2012,26.323340471092077,18.0,40.0,3269
Magazine Covers,2013,27.604873230161342,19.0,43.0,3037
Magazine Covers,2014,28.44396782841823,19.0,44.0,1865
Magazine Covers,2015,28.21216041397154,19.0,43.0,1546
Magazine Covers,2016,28.636740331491712,19.0,46.0,1448
Magazine Covers,2017,28.565395095367847,19.0,45.649999999999864,1468
Magazine Covers,2018,29.84575260804769,19.0,48.0,1342
Magazine Covers,2019,31.1292984869326,20.0,49.0,1454
Magazine Covers,2020,32.29177958446251,21.0,50.0,1107
Magazine Covers,2021,32.566623544631305,22.0,52.0,773
Magazine Covers,2022,33.34510869565217,23.0,52.0,736
Magazine Covers,2023,37.54216867469879,24.0,57.0,747
Magazine Covers,2024,37.22521008403361,23.0,58.0,595
Magazine Covers,2025,39.704,23.2,57.0,125
Shows,1978,21.0,21.0,21.0,1
Shows,1985,27.0,27.0,27.0,1
Shows,1986,21.333333333333332,16.1,29.599999999999998,3
Shows,1987,19.53846153846154,17.0,24.599999999999994,13
Shows,1988,21.27777777777778,18.0,29.25,36
Shows,1989,19.384615384615383,14.0,26.0,39
Shows,1990,21.588709677419356,15.0,30.0,124
Shows,1991,22.114173228346456,16.0,27.0,254
Shows,1992,22.154241645244216,17.0,26.0,389
Shows,1993,22.45876288659794,18.05,27.0,582
Shows,1994,22.764462809917354,18.0,28.0,484
Shows,1995,22.70216049382716,18.0,29.0,648
Shows,1996,22.525951557093425,17.0,28.0,578
Shows,1997,22.202356557377048,18.0,29.0,1952
Shows,1998,22.153347732181427,18.0,28.0,1852
Shows,1999,21.085714285714285,16.0,29.0,1680
Shows,2000,21.376853736551322,17.0,27.0,3439
Shows,2001,21.484979572218215,17.0,28.0,4161
Shows,2002,21.65042658284688,17.0,27.0,4454
Shows,2003,21.935029219663114,17.0,28.0,5818
Shows,2004,21.125257236932363,16.0,27.0,7289
Shows,2005,20.79416922402455,17.0,27.0,9124
Shows,2006,20.703496075833247,17.0,27.0,9811
Shows,2007,20.55711405277461,17.0,25.0,11407
Shows,2008,20.58882217090069,17.0,26.0,10825
Shows,2009,20.743786208185387,17.0,26.0,10702
Shows,2010,20.959664745940284,17.0,26.0,11454
Shows,2011,20.886047463175125,17.0,26.0,14664
Shows,2012,21.520422535211267,17.0,27.0,17040
Shows,2013,21.768213247820423,17.0,27.0,9979
Shows,2014,21.943709304767907,17.0,28.0,9522
Shows,2015,21.827488820899035,17.0,29.0,8498
Shows,2016,21.6875,17.0,29.0,7120
Shows,2017,22.333756949960286,18.0,30.0,6295
Shows,2018,23.29782528566163,17.0,32.0,5426
Shows,2019,24.67097966728281,18.0,35.0,5410
Shows,2020,25.101425256877693,18.0,37.0,3017
Shows,2021,27.2996632996633,19.0,44.0,1188
Shows,2022,27.855647623201047,20.0,43.0,2293
Shows,2023,29.588635454181674,21.0,45.0,2499
Shows,2024,31.57238536836682,22.0,47.0,1941
Shows,2025,31.89596602972399,22.0,48.0,942
